trialNum matrixIndex leftValue leftTime rightValue rightTime choice
  0 1079 600.00  0.00 800.00 520.00  0
  1  822 460.00  0.00 800.00 26.00  0
  2  654 370.00  0.00 800.00  6.44  0
  3  705 400.00  0.00 800.00  2.00  1
  4  742 420.00  0.00 800.00  3.00  0
  5  652 370.00  0.00 800.00  3.00  1
  6  742 410.00  0.00 800.00  2.00  1
  7  742 410.00  0.00 800.00  2.00  1
  8  742 410.00  0.00 800.00  2.00  1
  9  742 420.00  0.00 800.00  4.30  1
 10  726 410.00  0.00 800.00  6.44  0
 11  725 410.00  0.00 800.00  4.30  0
 12  743 420.00  0.00 800.00  4.30  0
 13  724 410.00  0.00 800.00  3.00  1
 14  743 430.00  0.00 800.00  6.44  0
 15  743 420.00  0.00 800.00  6.44  0
 16  725 410.00  0.00 800.00  4.30  0
 17  706 400.00  0.00 800.00  3.00  1
 18  706 410.00  0.00 800.00  2.00  0
 19  580 330.00  0.00 800.00  3.00  1
