Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -3.6537  2.1962    -7.1822 -0.3861
      1  -1.9315  1.2808    -3.8598 -0.2108
      2  -2.9491  0.7877    -3.9489 -2.1422
      3  -3.4862  0.6350    -4.1809 -3.0560
      4  -3.1989  0.6422    -3.7122 -2.8346
      5  -3.2351  0.4992    -3.6802 -3.1547
      6  -3.1921  0.6505    -3.6209 -2.9199
      7  -3.2123  1.4469    -7.0350 -1.6880
      8  -3.0641  1.1334    -5.2099 -1.9653
      9  -3.0667  0.8985    -4.0892 -2.4285
     10  -3.0653  0.7156    -3.8121 -2.6676
     11  -2.9744  0.6235    -3.5005 -2.6512
     12  -2.9400  1.0709    -4.7364 -2.1532
     13  -2.8558  0.8195    -3.6192 -2.2335
     14  -2.8551  0.6494    -3.4851 -2.4165
     15  -2.8069  0.5179    -3.3657 -2.4230
     16  -2.8308  0.4217    -3.3607 -2.5361
     17  -2.8655  0.3613    -3.3714 -2.6513
     18  -2.9008  0.3171    -3.3854 -2.6822
     19  -2.8748  0.2587    -3.3281 -2.6790

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.1011  0.0590     0.0059  0.1897
      1   0.1014  0.0588     0.0063  0.1898
      2   0.1007  0.0590     0.0056  0.1896
      3   0.0992  0.0594     0.0044  0.1894
      4   0.0948  0.0603     0.0025  0.1886
      5   0.1060  0.0581     0.0074  0.1905
      6   0.0873  0.0567     0.0017  0.1825
      7   0.0212  0.0214     0.0000  0.0606
      8   0.0235  0.0213     0.0000  0.0624
      9   0.0272  0.0219     0.0001  0.0667
     10   0.0305  0.0223     0.0004  0.0702
     11   0.0339  0.0236     0.0013  0.0756
     12   0.0169  0.0122     0.0000  0.0364
     13   0.0178  0.0118     0.0001  0.0370
     14   0.0194  0.0119     0.0007  0.0386
     15   0.0208  0.0119     0.0014  0.0398
     16   0.0225  0.0120     0.0022  0.0412
     17   0.0240  0.0124     0.0029  0.0437
     18   0.0254  0.0128     0.0036  0.0460
     19   0.0269  0.0128     0.0053  0.0472

