Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -8.0320  1.3774    -3.7326 -5.9979
      1  -7.5298  1.3008    -8.7519 -5.2005
      2  -7.2088  1.3197    -8.1972 -4.3650
      3  -6.9537  1.4139    -7.8907 -3.4898
      4  -5.8622  2.1130    -8.1423 -1.1573
      5  -4.4479  2.3799    -8.4152 -0.5438
      6  -4.4473  2.2726    -8.0244 -0.5809
      7  -3.2867  2.3545    -8.1498 -0.3123
      8  -2.9939  2.1619    -7.4270 -0.2895
      9  -2.7622  1.9754    -6.5661 -0.2732
     10  -3.7421  1.7507    -6.8776 -0.9830
     11  -3.1316  1.6112    -6.2280 -0.7460
     12  -3.0308  1.4488    -5.5359 -0.7804
     13  -3.5315  1.2483    -5.7487 -1.7633
     14  -3.1806  1.1230    -4.9151 -1.5587
     15  -3.5014  0.9954    -5.1089 -2.2503
     16  -3.2140  0.9790    -4.6319 -1.9808
     17  -3.1829  0.8621    -4.4709 -2.0480
     18  -3.3964  0.7763    -4.6341 -2.4567
     19  -3.1929  0.7441    -4.3003 -2.2882

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.0964  0.0617     0.0001  0.1893
      1   0.0926  0.0627     0.0001  0.1889
      2   0.0914  0.0641     0.0001  0.1891
      3   0.0847  0.0650     0.0000  0.1880
      4   0.0182  0.0237     0.0000  0.0640
      5   0.0043  0.0045     0.0000  0.0090
      6   0.0055  0.0044     0.0000  0.0104
      7   0.0044  0.0035     0.0000  0.0066
      8   0.0054  0.0032     0.0000  0.0067
      9   0.0061  0.0027     0.0000  0.0067
     10   0.0060  0.0028     0.0000  0.0067
     11   0.0061  0.0027     0.0000  0.0068
     12   0.0066  0.0022     0.0001  0.0068
     13   0.0067  0.0022     0.0001  0.0068
     14   0.0068  0.0022     0.0001  0.0069
     15   0.0069  0.0022     0.0001  0.0069
     16   0.0069  0.0022     0.0001  0.0069
     17   0.0071  0.0019     0.0002  0.0069
     18   0.0072  0.0020     0.0003  0.0070
     19   0.0072  0.0020     0.0003  0.0073

