Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -6.3568  1.7712    -9.1778 -3.8323
      1  -7.7897  1.1006    -5.1681 -6.6236
      2  -7.0840  0.8382    -8.1334 -6.4850
      3  -6.7660  0.7090    -7.4751 -6.3506
      4  -6.4432  0.7817    -7.0634 -5.6642
      5  -5.8928  1.2800    -7.0212 -3.1588
      6  -4.9962  1.6634    -7.1843 -1.5094
      7  -4.1136  1.8935    -7.6768 -0.8066
      8  -4.4365  2.6974    -8.9378 -0.4496
      9  -4.4962  2.7149    -8.9622 -0.4615
     10  -4.5370  2.7158    -8.9724 -0.4703
     11  -4.5774  2.7177    -8.9829 -0.4786
     12  -4.5368  2.7199    -8.9745 -0.4683
     13  -4.4968  2.7213    -8.9657 -0.4586
     14  -4.4569  2.7182    -8.9545 -0.4510
     15  -4.4170  2.7187    -8.9451 -0.4419
     16  -4.3771  2.7148    -8.9331 -0.4348
     17  -4.4171  2.7186    -8.9450 -0.4420
     18  -4.4570  2.7219    -8.9565 -0.4494
     19  -4.4172  2.7184    -8.9450 -0.4420

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.1004  0.0594     0.0047  0.1897
      1   0.1009  0.0592     0.0050  0.1898
      2   0.0988  0.0598     0.0038  0.1894
      3   0.1010  0.0594     0.0044  0.1898
      4   0.0941  0.0615     0.0017  0.1889
      5   0.0352  0.0361     0.0000  0.1078
      6   0.0098  0.0086     0.0000  0.0235
      7   0.0058  0.0043     0.0000  0.0108
      8   0.0002  0.0010     0.0000  0.0001
      9   0.0001  0.0002     0.0000  0.0001
     10   0.0001  0.0002     0.0000  0.0001
     11   0.0001  0.0002     0.0000  0.0001
     12   0.0001  0.0001     0.0000  0.0001
     13   0.0001  0.0001     0.0000  0.0001
     14   0.0001  0.0001     0.0000  0.0001
     15   0.0001  0.0001     0.0000  0.0001
     16   0.0001  0.0001     0.0000  0.0001
     17   0.0001  0.0000     0.0000  0.0001
     18   0.0001  0.0000     0.0000  0.0001
     19   0.0001  0.0000     0.0000  0.0001

