Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -2.6018  1.6453    -5.1380 -0.2781
      1  -3.8708  0.9919    -5.2462 -2.7022
      2  -4.5391  0.7475    -5.4553 -3.9644
      3  -4.9568  0.7482    -6.0221 -4.5453
      4  -4.7324  0.5812    -5.2342 -4.4642
      5  -4.7066  0.4317    -5.1322 -4.4929
      6  -4.6985  0.3352    -5.0265 -4.5043
      7  -4.6922  0.2701    -4.9972 -4.5110
      8  -4.6885  0.2266    -4.9918 -4.5155
      9  -4.6875  0.1999    -4.9899 -4.5184
     10  -3.9658  0.8428    -4.8331 -2.7287
     11  -4.1343  0.6484    -4.8467 -3.4369
     12  -4.2375  0.5256    -4.8694 -3.7750
     13  -4.0724  0.6148    -4.7139 -3.5115
     14  -4.1142  0.4891    -4.7078 -3.7316
     15  -4.1450  0.3982    -4.7074 -3.8421
     16  -4.0600  0.3865    -4.6100 -3.7661
     17  -3.9343  0.7469    -4.6686 -3.2998
     18  -3.9180  0.5869    -4.5919 -3.3961
     19  -3.9483  0.4783    -4.5757 -3.5210

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.1001  0.0596     0.0040  0.1896
      1   0.0996  0.0597     0.0037  0.1896
      2   0.0994  0.0600     0.0035  0.1896
      3   0.0953  0.0608     0.0020  0.1888
      4   0.0980  0.0594     0.0031  0.1890
      5   0.1046  0.0571     0.0095  0.1899
      6   0.1088  0.0555     0.0150  0.1905
      7   0.1121  0.0542     0.0191  0.1910
      8   0.1151  0.0531     0.0226  0.1914
      9   0.1182  0.0521     0.0256  0.1918
     10   0.0174  0.0112     0.0001  0.0349
     11   0.0200  0.0115     0.0007  0.0382
     12   0.0221  0.0118     0.0017  0.0403
     13   0.0189  0.0108     0.0007  0.0352
     14   0.0204  0.0107     0.0017  0.0369
     15   0.0217  0.0107     0.0028  0.0383
     16   0.0223  0.0114     0.0028  0.0402
     17   0.0134  0.0074     0.0001  0.0237
     18   0.0138  0.0071     0.0005  0.0239
     19   0.0147  0.0071     0.0009  0.0248

