  0 1105 620.00  0.00 800.00  8.60  1
  1  701 390.00  0.00 800.00 520.00  0
  2  645 360.00  0.00 800.00 156.00  0
  3  769 430.00  0.00 800.00 52.00  0
  4  661 370.00  0.00 800.00 52.00  0
  5  822 460.00  0.00 800.00 26.00  1
  6  679 380.00  0.00 800.00 52.00  0
  7  804 450.00  0.00 800.00 26.00  1
  8  679 360.00  0.00 800.00 104.00  0
  9  571 320.00  0.00 800.00 52.00  0
 10  804 450.00  0.00 800.00 26.00  0
 11  822 460.00  0.00 800.00 26.00  0
 12  713 400.00  0.00 800.00 21.50  1
 13  840 470.00  0.00 800.00 26.00  0
 14  678 380.00  0.00 800.00 26.00  1
 15  840 450.00  0.00 800.00 21.50  1
 16  840 480.00  0.00 800.00 52.00  0
 17  840 470.00  0.00 800.00 21.50  0
 18  858 480.00  0.00 800.00 26.00  0
 19  749 420.00  0.00 800.00 21.50  0
