Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -7.4549  1.3245    -6.2537 -6.0003
      1  -6.5953  0.9858    -7.7399 -5.8073
      2  -6.1737  0.8682    -6.9517 -5.5016
      3  -5.8411  0.9583    -6.5458 -4.4069
      4  -5.3799  1.3672    -6.4847 -2.0270
      5  -4.2899  1.9480    -7.2009 -0.6774
      6  -3.1665  2.1313    -7.6472 -0.3333
      7  -2.9527  1.9395    -6.5029 -0.3191
      8  -2.1189  1.8756    -6.3751 -0.1862
      9  -1.9080  1.6264    -5.0614 -0.1770
     10  -1.3652  1.4451    -4.0587 -0.1191
     11  -1.0260  1.2743    -2.9525 -0.0891
     12  -0.9200  1.0391    -2.4744 -0.0871
     13  -0.6877  0.9201    -1.9309 -0.0665
     14  -0.5340  0.8098    -1.5645 -0.0546
     15  -0.4426  0.6735    -1.3397 -0.0497
     16  -0.3573  0.5843    -1.1703 -0.0440
     17  -0.2961  0.4999    -1.0238 -0.0402
     18  -0.2327  0.4973    -0.8904 -0.0349
     19  -0.1978  0.4138    -0.7894 -0.0333

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.0987  0.0602     0.0012  0.1895
      1   0.0967  0.0608     0.0005  0.1892
      2   0.0967  0.0606     0.0005  0.1891
      3   0.0894  0.0615     0.0001  0.1874
      4   0.0522  0.0507     0.0000  0.1556
      5   0.0105  0.0109     0.0000  0.0290
      6   0.0056  0.0041     0.0000  0.0096
      7   0.0065  0.0037     0.0000  0.0103
      8   0.0062  0.0033     0.0000  0.0077
      9   0.0068  0.0028     0.0001  0.0083
     10   0.0069  0.0027     0.0001  0.0086
     11   0.0071  0.0027     0.0001  0.0093
     12   0.0073  0.0024     0.0002  0.0095
     13   0.0074  0.0024     0.0003  0.0100
     14   0.0076  0.0025     0.0003  0.0106
     15   0.0077  0.0026     0.0004  0.0111
     16   0.0079  0.0027     0.0004  0.0116
     17   0.0081  0.0029     0.0005  0.0120
     18   0.0080  0.0027     0.0004  0.0118
     19   0.0082  0.0029     0.0005  0.0122

