trialNum matrixIndex leftValue leftTime rightValue rightTime choice
  0 1348 750.00  0.00 800.00 260.00  0
  1  769 430.00  0.00 800.00 52.00  0
  2  655 370.00  0.00 800.00  8.60  1
  3  695 390.00  0.00 800.00 21.50  0
  4  693 390.00  0.00 800.00 12.90  0
  5  745 420.00  0.00 800.00  8.60  1
  6  764 430.00  0.00 800.00 10.80  1
  7  693 390.00  0.00 800.00 12.90  0
  8  711 400.00  0.00 800.00 12.90  0
  9  729 410.00  0.00 800.00 12.90  0
 10  691 390.00  0.00 800.00  8.60  1
 11  782 440.00  0.00 800.00 10.80  0
 12  709 400.00  0.00 800.00  8.60  1
 13  782 460.00  0.00 800.00 12.90  0
 14  638 360.00  0.00 800.00 10.80  1
 15  711 400.00  0.00 800.00 12.90  0
 16  727 410.00  0.00 800.00  8.60  1
 17  764 430.00  0.00 800.00 10.80  1
 18  782 440.00  0.00 800.00 10.80  1
 19  711 400.00  0.00 800.00 12.90  0
