Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -6.7238  1.5860    -9.0228 -4.5490
      1  -5.4637  0.9418    -6.7996 -4.3885
      2  -6.0350  0.7286    -6.8928 -5.5249
      3  -5.6247  0.6420    -6.2577 -5.2831
      4  -5.4567  0.6318    -5.9849 -5.0472
      5  -5.1020  1.0804    -6.0889 -3.1658
      6  -4.6438  1.4574    -7.1168 -1.6367
      7  -4.6621  1.2320    -6.0347 -2.2217
      8  -4.8778  0.9118    -5.8322 -3.7358
      9  -5.0107  0.7414    -5.7870 -4.3425
     10  -4.8037  0.8645    -5.7227 -3.9242
     11  -4.8154  0.6873    -5.6021 -4.1405
     12  -4.8823  0.5546    -5.5797 -4.4302
     13  -4.9422  0.4653    -5.5933 -4.5725
     14  -4.8918  0.3935    -5.4763 -4.5602
     15  -4.9819  0.3812    -5.5171 -4.7433
     16  -4.9720  0.3144    -5.4937 -4.7463
     17  -5.0225  0.2783    -5.5085 -4.7917
     18  -5.0568  0.2455    -5.5165 -4.8561
     19  -5.1029  0.2396    -5.5463 -5.0046

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.1003  0.0594     0.0041  0.1896
      1   0.0995  0.0597     0.0035  0.1895
      2   0.1002  0.0596     0.0040  0.1897
      3   0.0988  0.0599     0.0028  0.1894
      4   0.0986  0.0605     0.0023  0.1896
      5   0.0389  0.0367     0.0000  0.1107
      6   0.0148  0.0144     0.0000  0.0396
      7   0.0165  0.0142     0.0000  0.0408
      8   0.0194  0.0148     0.0001  0.0445
      9   0.0223  0.0155     0.0001  0.0481
     10   0.0175  0.0120     0.0001  0.0368
     11   0.0182  0.0118     0.0003  0.0373
     12   0.0200  0.0119     0.0010  0.0392
     13   0.0216  0.0122     0.0016  0.0410
     14   0.0233  0.0126     0.0024  0.0434
     15   0.0234  0.0127     0.0024  0.0440
     16   0.0243  0.0126     0.0034  0.0447
     17   0.0257  0.0131     0.0043  0.0470
     18   0.0272  0.0136     0.0054  0.0493
     19   0.0271  0.0135     0.0055  0.0488

