Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -6.2855  1.8015    -9.1701 -3.6858
      1  -7.6729  1.1313    -5.6134 -6.3824
      2  -6.9264  0.8202    -7.9871 -6.3204
      3  -6.5210  0.6818    -7.2328 -6.1030
      4  -6.7037  0.5626    -7.3084 -6.4964
      5  -6.8544  0.5492    -7.4266 -6.6806
      6  -7.0357  0.8707    -8.1950 -6.7379
      7  -7.0856  0.6839    -8.1116 -6.8563
      8  -7.1095  0.5543    -8.0410 -6.8687
      9  -7.1191  0.4666    -7.9782 -6.8745
     10  -7.1214  0.4101    -7.9159 -6.8782
     11  -7.1205  0.3750    -7.8797 -6.8800
     12  -7.1181  0.3508    -7.8522 -6.8818
     13  -7.2954  0.8520    -8.9247 -6.7493
     14  -7.1269  0.6865    -8.4109 -6.7235
     15  -7.0231  0.5377    -7.8761 -6.7081
     16  -6.9487  0.4250    -7.5829 -6.6891
     17  -6.8887  0.3485    -7.3695 -6.6663
     18  -6.8457  0.2910    -7.3238 -6.6493
     19  -6.7460  0.5359    -7.3272 -6.5866

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.1013  0.0591     0.0053  0.1898
      1   0.1014  0.0590     0.0058  0.1898
      2   0.1001  0.0596     0.0049  0.1897
      3   0.1005  0.0594     0.0046  0.1897
      4   0.1041  0.0579     0.0082  0.1901
      5   0.1023  0.0581     0.0079  0.1898
      6   0.0565  0.0444     0.0005  0.1435
      7   0.0599  0.0440     0.0031  0.1458
      8   0.0629  0.0437     0.0055  0.1480
      9   0.0647  0.0434     0.0076  0.1491
     10   0.0662  0.0431     0.0090  0.1500
     11   0.0673  0.0429     0.0100  0.1506
     12   0.0686  0.0428     0.0112  0.1514
     13   0.0192  0.0122     0.0008  0.0392
     14   0.0222  0.0126     0.0015  0.0420
     15   0.0247  0.0127     0.0029  0.0449
     16   0.0269  0.0128     0.0050  0.0471
     17   0.0289  0.0131     0.0073  0.0494
     18   0.0307  0.0133     0.0082  0.0519
     19   0.0219  0.0100     0.0026  0.0365

