trialNum matrixIndex leftValue leftTime rightValue rightTime choice
  0  892 500.00  0.00 800.00 17.20  1
  1  701 390.00  0.00 800.00 520.00  1
  2 1169 650.00  0.00 800.00 520.00  0
  3  971 540.00  0.00 800.00 520.00  0
  4  791 440.00  0.00 800.00 520.00  1
  5  881 490.00  0.00 800.00 520.00  1
  6  971 540.00  0.00 800.00 520.00  1
  7  971 540.00  0.00 800.00 260.00  1
  8  971 560.00  0.00 800.00 260.00  1
  9  971 530.00  0.00 800.00 260.00  1
 10  971 540.00  0.00 800.00 260.00  1
 11  971 520.00  0.00 800.00 260.00  1
 12  971 550.00  0.00 800.00 260.00  1
 13  971 530.00  0.00 800.00 260.00  0
 14 1151 640.00  0.00 800.00 520.00  0
 15 1133 630.00  0.00 800.00 520.00  0
 16 1079 600.00  0.00 800.00 520.00  0
 17 1025 570.00  0.00 800.00 520.00  0
 18 1007 560.00  0.00 800.00 520.00  0
 19 1007 540.00  0.00 800.00 260.00  0
