Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -1.0773  1.9074    -6.4795 -0.0684
      1  -1.3835  1.9338    -6.8584 -0.3988
      2  -1.7667  2.1141    -7.5101 -0.6406
      3  -3.6926  2.7181    -8.7981 -0.7594
      4  -5.2200  2.4810    -9.0702 -1.0963
      5  -5.3442  2.4063    -9.0816 -1.3600
      6  -4.1749  2.0339    -8.2374 -1.1558
      7  -4.1136  1.9136    -7.9277 -1.2911
      8  -3.2254  1.6758    -6.7586 -1.0408
      9  -3.7445  1.5025    -6.8872 -1.7141
     10  -3.3655  1.3048    -5.7097 -1.6265
     11  -3.2913  1.1344    -5.1024 -1.7012
     12  -3.6222  1.0100    -5.2806 -2.3808
     13  -3.3960  0.8843    -4.7022 -2.2564
     14  -3.5445  0.7704    -4.7390 -2.6577
     15  -3.3986  0.6810    -4.4264 -2.5751
     16  -3.5129  0.6036    -4.4708 -2.8304
     17  -3.3417  0.6006    -4.2425 -2.6692
     18  -3.4049  0.5281    -4.2779 -2.8354
     19  -3.3393  0.4661    -4.1381 -2.8021

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.0879  0.0651     0.0000  0.1884
      1   0.0843  0.0658     0.0000  0.1880
      2   0.0782  0.0678     0.0000  0.1879
      3   0.0105  0.0151     0.0000  0.0378
      4   0.0049  0.0043     0.0000  0.0094
      5   0.0060  0.0041     0.0000  0.0104
      6   0.0061  0.0043     0.0000  0.0111
      7   0.0069  0.0039     0.0000  0.0115
      8   0.0071  0.0042     0.0000  0.0122
      9   0.0071  0.0040     0.0000  0.0120
     10   0.0077  0.0042     0.0000  0.0127
     11   0.0081  0.0039     0.0001  0.0128
     12   0.0083  0.0040     0.0001  0.0131
     13   0.0088  0.0042     0.0002  0.0136
     14   0.0092  0.0044     0.0003  0.0141
     15   0.0097  0.0047     0.0004  0.0159
     16   0.0102  0.0049     0.0005  0.0171
     17   0.0101  0.0049     0.0005  0.0170
     18   0.0107  0.0051     0.0006  0.0179
     19   0.0113  0.0053     0.0007  0.0187

