Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -6.0473  1.9295    -9.1458 -3.2277
      1  -7.6695  1.1375    -5.6180 -6.3790
      2  -8.3164  0.8736    -3.2931 -7.5861
      3  -8.6985  0.7736    -1.8530 -8.1900
      4  -8.8663  0.6674    -1.3056 -8.4969
      5  -8.9757  0.5741    -0.9760 -8.7176
      6  -9.0180  0.4546    -0.9058 -8.7631
      7  -9.0879  0.4037    -0.6941 -8.9549
      8  -9.1084  0.3125    -0.6687 -8.9678
      9  -9.1170  0.2396    -0.6643 -8.9718
     10  -9.1224  0.1930    -0.6597 -8.9752
     11  -9.1269  0.1641    -0.6529 -8.9790
     12  -9.1289  0.1471    -0.6502 -8.9807
     13  -9.1298  0.1379    -0.6491 -8.9815
     14  -9.1442  0.1248    -0.6085 -8.9948
     15  -9.1484  0.1183    -0.5979 -8.9997
     16  -9.1520  0.1135    -0.5886 -9.0041
     17  -9.1624  0.1041    -0.5617 -9.0183
     18  -9.1632  0.1026    -0.5598 -9.0197
     19  -9.1635  0.1020    -0.5593 -9.0202

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.1011  0.0592     0.0054  0.1898
      1   0.1011  0.0592     0.0054  0.1898
      2   0.1028  0.0583     0.0076  0.1900
      3   0.1054  0.0576     0.0094  0.1904
      4   0.1119  0.0559     0.0141  0.1914
      5   0.1182  0.0540     0.0198  0.1923
      6   0.1257  0.0513     0.0290  0.1933
      7   0.1293  0.0500     0.0339  0.1938
      8   0.1350  0.0472     0.0435  0.1944
      9   0.1367  0.0457     0.0489  0.1945
     10   0.1387  0.0442     0.0539  0.1946
     11   0.1412  0.0426     0.0591  0.1948
     12   0.1425  0.0416     0.0625  0.1949
     13   0.1432  0.0410     0.0643  0.1950
     14   0.1464  0.0398     0.0689  0.1954
     15   0.1490  0.0385     0.0733  0.1957
     16   0.1512  0.0372     0.0775  0.1959
     17   0.1538  0.0361     0.0816  0.1962
     18   0.1548  0.0353     0.0840  0.1963
     19   0.1552  0.0350     0.0852  0.1963

