Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -1.0403  1.9130    -6.4612 -0.0627
      1  -0.7691  1.8307    -5.9710 -0.0403
      2  -0.6502  1.8413    -5.8914 -0.0269
      3  -0.3831  1.4537    -3.4506 -0.0248
      4  -0.6434  1.8682    -5.9836 -0.0255
      5  -3.8208  2.9959    -8.8954 -0.1105
      6  -3.2871  3.0483    -8.7930 -0.0752
      7  -2.5959  2.9834    -8.5956 -0.0545
      8  -1.8572  2.7308    -8.2089 -0.0430
      9  -1.2204  2.3134    -7.4429 -0.0370
     10  -0.7665  1.8353    -5.9300 -0.0338
     11  -0.4866  1.3943    -3.1081 -0.0322
     12  -0.3286  1.0369    -1.1132 -0.0314
     13  -0.8651  1.7360    -5.5841 -0.0483
     14  -0.6171  1.3276    -2.7130 -0.0460
     15  -0.4768  1.0028    -1.4866 -0.0448
     16  -0.4020  0.7667    -1.2917 -0.0442
     17  -0.3227  0.6267    -1.0670 -0.0407
     18  -0.5335  0.9054    -1.4988 -0.0567
     19  -0.4760  0.7068    -1.3789 -0.0560

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.0865  0.0649     0.0000  0.1879
      1   0.0927  0.0640     0.0000  0.1890
      2   0.0943  0.0634     0.0000  0.1891
      3   0.1071  0.0597     0.0001  0.1909
      4   0.0870  0.0595     0.0000  0.1834
      5   0.0028  0.0075     0.0000  0.0163
      6   0.0047  0.0094     0.0000  0.0221
      7   0.0072  0.0109     0.0000  0.0267
      8   0.0100  0.0117     0.0000  0.0302
      9   0.0124  0.0119     0.0000  0.0324
     10   0.0141  0.0117     0.0000  0.0335
     11   0.0152  0.0115     0.0001  0.0341
     12   0.0158  0.0113     0.0002  0.0344
     13   0.0078  0.0049     0.0000  0.0135
     14   0.0084  0.0046     0.0001  0.0137
     15   0.0087  0.0044     0.0002  0.0138
     16   0.0089  0.0043     0.0004  0.0138
     17   0.0093  0.0045     0.0005  0.0153
     18   0.0075  0.0027     0.0002  0.0108
     19   0.0077  0.0025     0.0004  0.0108

