Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -1.5845  1.8785    -6.6838 -0.1302
      1  -2.3146  1.9546    -7.5939 -1.0769
      2  -3.5251  2.3219    -8.5965 -1.6716
      3  -5.4673  2.2033    -9.0764 -2.3920
      4  -3.9347  1.4748    -6.8319 -2.1386
      5  -4.7485  1.3527    -7.5148 -2.9468
      6  -5.3165  1.3635    -8.1364 -3.5254
      7  -5.0021  1.0339    -6.6224 -3.7124
      8  -5.3205  1.0823    -7.1784 -4.0711
      9  -5.2018  0.8512    -6.3067 -4.2899
     10  -5.3094  0.7217    -6.2973 -4.7278
     11  -5.2345  0.5786    -5.9858 -4.7473
     12  -5.3164  0.4960    -6.0071 -4.9622
     13  -5.4584  0.5575    -6.2246 -5.0648
     14  -5.4090  0.4485    -6.0166 -5.0654
     15  -5.3057  0.4538    -5.8800 -5.0060
     16  -5.3429  0.3740    -5.8820 -5.0678
     17  -5.3187  0.3112    -5.7823 -5.0660
     18  -5.2703  0.2820    -5.7493 -5.0434
     19  -5.2407  0.2491    -5.7069 -5.0338

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.0899  0.0629     0.0001  0.1883
      1   0.0840  0.0637     0.0001  0.1873
      2   0.0578  0.0593     0.0001  0.1783
      3   0.0165  0.0142     0.0001  0.0402
      4   0.0187  0.0164     0.0001  0.0468
      5   0.0151  0.0123     0.0000  0.0355
      6   0.0137  0.0114     0.0000  0.0328
      7   0.0161  0.0123     0.0001  0.0365
      8   0.0152  0.0120     0.0001  0.0349
      9   0.0174  0.0124     0.0001  0.0380
     10   0.0193  0.0129     0.0003  0.0405
     11   0.0213  0.0133     0.0010  0.0431
     12   0.0232  0.0138     0.0016  0.0460
     13   0.0205  0.0122     0.0010  0.0400
     14   0.0222  0.0124     0.0018  0.0416
     15   0.0213  0.0117     0.0016  0.0399
     16   0.0228  0.0119     0.0025  0.0412
     17   0.0242  0.0119     0.0036  0.0429
     18   0.0251  0.0123     0.0042  0.0447
     19   0.0264  0.0126     0.0053  0.0465

