Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -7.1980  1.4018    -7.2018 -5.3884
      1  -6.1855  0.9417    -7.3523 -5.1612
      2  -5.6334  0.7786    -6.4094 -4.8085
      3  -5.2981  0.7925    -5.9866 -4.2974
      4  -5.0099  0.9007    -5.7528 -3.6114
      5  -4.6235  1.1054    -5.6788 -2.6175
      6  -4.8886  0.8447    -5.6327 -3.9068
      7  -5.0083  0.6864    -5.6051 -4.5835
      8  -4.9456  0.6003    -5.4675 -4.5827
      9  -4.9718  0.4448    -5.4472 -4.7599
     10  -4.8142  0.6882    -5.4081 -4.3332
     11  -4.7192  0.6979    -5.2618 -4.2045
     12  -4.7620  0.5401    -5.2523 -4.4913
     13  -4.7897  0.4207    -5.2479 -4.5841
     14  -4.7514  0.3584    -5.2053 -4.5701
     15  -4.7741  0.2911    -5.2104 -4.7142
     16  -4.7937  0.2524    -5.2213 -4.7496
     17  -4.7892  0.1992    -5.2112 -4.7503
     18  -4.7858  0.1636    -5.2035 -4.7507
     19  -4.7909  0.1419    -5.2057 -4.7540

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.1016  0.0594     0.0027  0.1899
      1   0.1002  0.0601     0.0017  0.1898
      2   0.0981  0.0608     0.0008  0.1895
      3   0.0904  0.0621     0.0001  0.1882
      4   0.0702  0.0590     0.0001  0.1800
      5   0.0323  0.0328     0.0001  0.0972
      6   0.0418  0.0358     0.0001  0.1108
      7   0.0499  0.0378     0.0001  0.1219
      8   0.0546  0.0396     0.0012  0.1298
      9   0.0574  0.0390     0.0051  0.1316
     10   0.0312  0.0217     0.0001  0.0686
     11   0.0295  0.0211     0.0001  0.0662
     12   0.0326  0.0210     0.0016  0.0686
     13   0.0352  0.0209     0.0041  0.0713
     14   0.0381  0.0219     0.0060  0.0758
     15   0.0411  0.0224     0.0082  0.0798
     16   0.0436  0.0230     0.0095  0.0833
     17   0.0446  0.0228     0.0111  0.0841
     18   0.0455  0.0226     0.0127  0.0848
     19   0.0471  0.0226     0.0144  0.0864

