Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -6.1682  1.8642    -9.1581 -3.4610
      1  -4.7728  1.1019    -6.4862 -3.3081
      2  -3.9815  0.7269    -4.9723 -3.2159
      3  -4.4718  0.5586    -5.1077 -4.0653
      4  -4.3168  0.4647    -4.7617 -4.0110
      5  -4.1751  0.4439    -4.6103 -3.9450
      6  -4.2290  0.3231    -4.6180 -4.2017
      7  -4.2089  0.2437    -4.4728 -4.2119
      8  -4.2107  0.1795    -4.4723 -4.2172
      9  -4.2086  0.1378    -4.4705 -4.2176
     10  -4.2075  0.1105    -4.4694 -4.2180
     11  -4.2072  0.0936    -4.4689 -4.2182
     12  -4.2082  0.0796    -4.4689 -4.2187
     13  -4.2078  0.0725    -4.4682 -4.2189
     14  -4.2077  0.0688    -4.4681 -4.2190
     15  -4.2086  0.0636    -4.4681 -4.2196
     16  -4.2085  0.0622    -4.4679 -4.2196
     17  -4.2085  0.0612    -4.4678 -4.2197
     18  -4.2089  0.0592    -4.4678 -4.2200
     19  -4.2089  0.0587    -4.4677 -4.2200

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.1011  0.0592     0.0053  0.1898
      1   0.1012  0.0592     0.0054  0.1898
      2   0.1021  0.0591     0.0059  0.1900
      3   0.1010  0.0591     0.0054  0.1897
      4   0.1039  0.0578     0.0085  0.1900
      5   0.1021  0.0579     0.0083  0.1896
      6   0.1131  0.0551     0.0166  0.1914
      7   0.1201  0.0525     0.0244  0.1923
      8   0.1210  0.0517     0.0275  0.1924
      9   0.1224  0.0507     0.0309  0.1925
     10   0.1234  0.0499     0.0335  0.1926
     11   0.1240  0.0495     0.0350  0.1926
     12   0.1242  0.0493     0.0358  0.1926
     13   0.1249  0.0488     0.0372  0.1927
     14   0.1251  0.0486     0.0379  0.1927
     15   0.1254  0.0484     0.0387  0.1927
     16   0.1256  0.0482     0.0393  0.1927
     17   0.1258  0.0481     0.0398  0.1927
     18   0.1259  0.0480     0.0403  0.1927
     19   0.1261  0.0479     0.0406  0.1927

