Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -1.4714  1.2903    -3.0347 -0.1541
      1  -2.0890  1.0211    -3.2158 -1.3468
      2  -2.4925  0.9431    -3.6400 -1.9814
      3  -2.6478  0.8795    -3.7443 -2.2811
      4  -2.8806  0.9784    -4.5609 -2.4425
      5  -3.5026  1.4795    -7.3530 -2.4866
      6  -4.5606  1.9352    -8.6345 -1.9858
      7  -4.0156  1.4907    -7.5205 -2.3662
      8  -3.9425  1.2782    -6.7045 -2.6920
      9  -4.5119  1.4550    -7.7520 -2.7967
     10  -4.4918  1.2966    -7.3237 -3.1096
     11  -5.1804  1.5434    -8.4080 -3.2374
     12  -4.8807  1.1976    -7.0986 -3.4532
     13  -4.6104  1.0062    -6.2534 -3.4382
     14  -4.9156  1.0379    -6.6257 -3.7298
     15  -4.9218  0.9062    -6.4497 -3.8633
     16  -4.7232  0.7839    -5.9662 -3.7832
     17  -4.9069  0.7484    -6.1099 -4.0533
     18  -4.7834  0.6576    -5.8140 -4.0083
     19  -4.8991  0.6072    -5.9118 -4.2244

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.0987  0.0606     0.0001  0.1896
      1   0.0986  0.0607     0.0001  0.1896
      2   0.0967  0.0612     0.0001  0.1893
      3   0.0978  0.0612     0.0001  0.1896
      4   0.0858  0.0620     0.0001  0.1871
      5   0.0279  0.0293     0.0000  0.0847
      6   0.0079  0.0070     0.0000  0.0185
      7   0.0095  0.0077     0.0000  0.0204
      8   0.0105  0.0074     0.0000  0.0209
      9   0.0076  0.0049     0.0000  0.0133
     10   0.0082  0.0046     0.0001  0.0135
     11   0.0066  0.0033     0.0000  0.0096
     12   0.0071  0.0032     0.0001  0.0107
     13   0.0075  0.0033     0.0001  0.0116
     14   0.0072  0.0032     0.0001  0.0109
     15   0.0075  0.0029     0.0001  0.0110
     16   0.0077  0.0030     0.0002  0.0117
     17   0.0079  0.0031     0.0002  0.0119
     18   0.0082  0.0033     0.0003  0.0124
     19   0.0085  0.0035     0.0004  0.0128

