Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -3.5538  2.1475    -6.9928 -0.3754
      1  -5.3513  1.1870    -7.2227 -3.7957
      2  -4.4765  0.7375    -5.5036 -3.7149
      3  -4.8771  0.5597    -5.5831 -4.4637
      4  -5.1467  0.4945    -5.7389 -4.8505
      5  -5.3151  0.4991    -5.9275 -5.1170
      6  -5.2488  0.3419    -5.5294 -5.1115
      7  -5.0702  0.6715    -5.6448 -4.7427
      8  -5.1872  0.7208    -5.7900 -4.8494
      9  -5.2210  0.5550    -5.7349 -5.0272
     10  -5.2064  0.4190    -5.5293 -5.0358
     11  -5.2175  0.3163    -5.5274 -5.0516
     12  -5.2110  0.2443    -5.5206 -5.0533
     13  -5.2081  0.1953    -5.5172 -5.0542
     14  -5.2077  0.1627    -5.5158 -5.0554
     15  -5.2072  0.1426    -5.5149 -5.0560
     16  -5.2070  0.1308    -5.5143 -5.0565
     17  -5.2134  0.1178    -5.5147 -5.0655
     18  -5.2132  0.1139    -5.5144 -5.0656
     19  -5.2131  0.1118    -5.5142 -5.0656

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.1008  0.0591     0.0057  0.1897
      1   0.1006  0.0592     0.0056  0.1897
      2   0.1014  0.0589     0.0060  0.1898
      3   0.1020  0.0585     0.0073  0.1898
      4   0.1010  0.0584     0.0071  0.1896
      5   0.1001  0.0593     0.0059  0.1897
      6   0.1130  0.0560     0.0141  0.1916
      7   0.0532  0.0393     0.0001  0.1269
      8   0.0503  0.0379     0.0001  0.1208
      9   0.0551  0.0377     0.0023  0.1245
     10   0.0597  0.0371     0.0071  0.1282
     11   0.0618  0.0366     0.0101  0.1294
     12   0.0647  0.0361     0.0140  0.1314
     13   0.0669  0.0358     0.0163  0.1333
     14   0.0679  0.0355     0.0180  0.1339
     15   0.0690  0.0353     0.0196  0.1347
     16   0.0698  0.0351     0.0209  0.1353
     17   0.0712  0.0349     0.0225  0.1362
     18   0.0718  0.0347     0.0232  0.1365
     19   0.0723  0.0346     0.0238  0.1369

