Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -4.1617  2.8858    -8.9415 -0.2001
      1  -3.8958  2.9426    -8.8996 -0.1496
      2  -3.5629  2.9788    -8.8367 -0.1149
      3  -5.0011  2.6495    -9.0573 -0.5951
      4  -5.1604  2.5973    -9.0766 -0.6676
      5  -5.3124  2.5372    -9.0934 -0.7590
      6  -6.3935  2.2727    -8.3369 -1.5139
      7  -6.6948  2.0350    -7.6946 -2.3721
      8  -6.8923  1.8373    -7.3227 -3.3577
      9  -7.5005  1.5142    -5.3025 -5.0374
     10  -6.6512  1.6858    -9.0916 -3.3470
     11  -6.7923  1.4892    -9.0960 -4.4597
     12  -6.1858  1.3912    -8.4713 -3.8928
     13  -5.6963  1.2941    -7.5630 -3.4303
     14  -6.0216  1.1052    -7.7013 -4.5336
     15  -6.0651  0.9794    -7.6262 -4.7925
     16  -5.8057  0.8904    -7.0953 -4.5784
     17  -6.0040  0.7711    -7.2155 -5.0740
     18  -5.8599  0.6980    -6.9283 -4.9941
     19  -6.0136  0.6284    -7.0291 -5.2924

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.0023  0.0059     0.0000  0.0090
      1   0.0037  0.0072     0.0000  0.0131
      2   0.0054  0.0082     0.0000  0.0174
      3   0.0029  0.0037     0.0000  0.0065
      4   0.0040  0.0039     0.0000  0.0068
      5   0.0052  0.0038     0.0000  0.0069
      6   0.0053  0.0037     0.0000  0.0070
      7   0.0062  0.0033     0.0000  0.0079
      8   0.0067  0.0029     0.0000  0.0084
      9   0.0070  0.0028     0.0001  0.0093
     10   0.0064  0.0029     0.0000  0.0069
     11   0.0068  0.0025     0.0001  0.0070
     12   0.0068  0.0026     0.0001  0.0074
     13   0.0068  0.0026     0.0001  0.0073
     14   0.0070  0.0027     0.0001  0.0091
     15   0.0073  0.0024     0.0002  0.0093
     16   0.0074  0.0025     0.0002  0.0098
     17   0.0076  0.0026     0.0003  0.0108
     18   0.0078  0.0027     0.0003  0.0114
     19   0.0080  0.0030     0.0004  0.0120

