Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -6.7076  1.5924    -9.0798 -4.5097
      1  -5.4455  0.9397    -6.7952 -4.3331
      2  -4.7902  0.6842    -5.5722 -4.2307
      3  -4.5000  0.6087    -5.0748 -4.0604
      4  -4.3410  0.5758    -4.8271 -3.9175
      5  -4.1332  0.6818    -4.6895 -3.3442
      6  -3.7172  1.1362    -4.7293 -1.6119
      7  -3.9841  0.7980    -4.6712 -3.1426
      8  -3.6366  1.5358    -7.2905 -1.2939
      9  -3.5294  1.2621    -5.7425 -1.6150
     10  -3.4640  1.0527    -4.6619 -1.8477
     11  -3.0130  1.4187    -5.6859 -0.8871
     12  -2.9131  1.2142    -4.4261 -0.9494
     13  -3.1854  0.9744    -4.4006 -1.8871
     14  -3.1490  0.8428    -4.2633 -1.9526
     15  -2.7740  1.0340    -4.0945 -1.2819
     16  -2.9536  0.8601    -4.0998 -1.8867
     17  -3.0745  0.7377    -4.1201 -2.2119
     18  -3.1736  0.6513    -4.1529 -2.4363
     19  -3.3602  0.6604    -4.3248 -2.6649

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.1010  0.0592     0.0045  0.1898
      1   0.1004  0.0595     0.0039  0.1897
      2   0.1001  0.0596     0.0033  0.1896
      3   0.1008  0.0597     0.0036  0.1898
      4   0.1010  0.0596     0.0041  0.1898
      5   0.0871  0.0605     0.0016  0.1865
      6   0.0284  0.0280     0.0001  0.0820
      7   0.0361  0.0300     0.0001  0.0922
      8   0.0096  0.0084     0.0000  0.0224
      9   0.0109  0.0082     0.0000  0.0235
     10   0.0117  0.0079     0.0001  0.0241
     11   0.0073  0.0044     0.0000  0.0126
     12   0.0079  0.0040     0.0001  0.0128
     13   0.0086  0.0044     0.0001  0.0136
     14   0.0089  0.0042     0.0003  0.0136
     15   0.0074  0.0029     0.0001  0.0108
     16   0.0077  0.0031     0.0002  0.0117
     17   0.0080  0.0032     0.0003  0.0122
     18   0.0083  0.0033     0.0003  0.0126
     19   0.0080  0.0031     0.0003  0.0121

