Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -6.7076  1.5924    -9.0798 -4.5097
      1  -5.4455  0.9397    -6.7952 -4.3331
      2  -4.7902  0.6842    -5.5722 -4.2307
      3  -4.5000  0.6087    -5.0748 -4.0604
      4  -4.3410  0.5758    -4.8271 -3.9175
      5  -4.1332  0.6818    -4.6895 -3.3442
      6  -3.6631  1.1972    -4.8815 -1.4557
      7  -3.0507  1.5652    -6.1980 -0.6328
      8  -3.3636  1.2305    -5.3094 -1.6181
      9  -2.9854  1.6033    -6.8863 -0.8764
     10  -2.8277  1.3360    -5.0474 -0.9596
     11  -2.7331  1.1361    -4.1783 -1.0171
     12  -2.9684  0.9277    -4.1717 -1.7784
     13  -3.1023  0.7765    -4.1705 -2.1994
     14  -3.1976  0.6680    -4.1820 -2.4517
     15  -3.0442  0.6252    -3.9380 -2.3766
     16  -3.1272  0.5507    -3.9725 -2.5342
     17  -3.0412  0.4918    -3.8346 -2.4872
     18  -3.2084  0.5123    -3.9620 -2.6774
     19  -3.2611  0.4533    -3.9991 -2.7856

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.1010  0.0592     0.0045  0.1898
      1   0.1004  0.0595     0.0039  0.1897
      2   0.1001  0.0596     0.0033  0.1896
      3   0.1008  0.0597     0.0036  0.1898
      4   0.1010  0.0596     0.0041  0.1898
      5   0.0871  0.0605     0.0016  0.1865
      6   0.0242  0.0237     0.0001  0.0686
      7   0.0097  0.0077     0.0000  0.0212
      8   0.0116  0.0085     0.0000  0.0248
      9   0.0073  0.0051     0.0000  0.0133
     10   0.0081  0.0048     0.0000  0.0135
     11   0.0086  0.0045     0.0001  0.0137
     12   0.0094  0.0048     0.0001  0.0154
     13   0.0101  0.0051     0.0003  0.0169
     14   0.0107  0.0052     0.0004  0.0179
     15   0.0110  0.0054     0.0005  0.0185
     16   0.0116  0.0055     0.0006  0.0192
     17   0.0122  0.0057     0.0008  0.0198
     18   0.0114  0.0053     0.0006  0.0186
     19   0.0120  0.0054     0.0008  0.0192

