Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -1.7404  1.7048    -5.9416 -0.1629
      1  -2.7047  1.7010    -7.3686 -1.5972
      2  -3.5843  1.9694    -8.3719 -2.2106
      3  -5.2325  2.1560    -9.0190 -2.6837
      4  -3.6797  1.2682    -6.2841 -2.4923
      5  -4.2401  1.2507    -6.9528 -2.9957
      6  -4.7488  1.2810    -7.6646 -3.4680
      7  -4.4223  0.9087    -5.7921 -3.5063
      8  -4.1678  0.8271    -5.2164 -3.3698
      9  -3.9517  0.8902    -5.0175 -3.0950
     10  -4.0426  0.7604    -4.9556 -3.4499
     11  -3.9752  0.6186    -4.6846 -3.4682
     12  -4.0444  0.5271    -4.6948 -3.6985
     13  -3.9622  0.4724    -4.4791 -3.6425
     14  -4.0010  0.3926    -4.4908 -3.7386
     15  -3.9536  0.3328    -4.4323 -3.7267
     16  -3.9755  0.2728    -4.4349 -3.7763
     17  -3.9692  0.2245    -4.4233 -3.7791
     18  -3.9843  0.1914    -4.4265 -3.8395
     19  -3.9806  0.1687    -4.4192 -3.8409

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.0933  0.0619     0.0001  0.1888
      1   0.0870  0.0631     0.0001  0.1877
      2   0.0709  0.0625     0.0001  0.1836
      3   0.0234  0.0260     0.0001  0.0713
      4   0.0322  0.0330     0.0001  0.0985
      5   0.0208  0.0177     0.0001  0.0517
      6   0.0170  0.0139     0.0001  0.0408
      7   0.0201  0.0147     0.0001  0.0451
      8   0.0207  0.0149     0.0001  0.0460
      9   0.0183  0.0131     0.0001  0.0397
     10   0.0204  0.0138     0.0001  0.0431
     11   0.0223  0.0140     0.0008  0.0455
     12   0.0244  0.0146     0.0016  0.0482
     13   0.0261  0.0154     0.0022  0.0519
     14   0.0282  0.0159     0.0035  0.0546
     15   0.0305  0.0165     0.0050  0.0582
     16   0.0324  0.0167     0.0072  0.0603
     17   0.0330  0.0165     0.0078  0.0606
     18   0.0347  0.0167     0.0088  0.0623
     19   0.0351  0.0166     0.0093  0.0626

