Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -1.9986  1.3814    -3.9470 -0.2144
      1  -3.0031  0.9047    -4.1471 -2.1389
      2  -3.5353  0.7621    -4.3975 -3.0395
      3  -3.8515  0.8086    -4.9724 -3.4639
      4  -4.1783  1.0706    -6.4917 -3.5275
      5  -4.7624  1.5587    -8.2213 -2.4571
      6  -5.4831  1.9608    -8.8799 -1.6185
      7  -5.6176  1.7511    -8.8407 -2.6284
      8  -6.4154  2.0689    -9.1872 -1.9222
      9  -6.6689  1.8230    -9.2016 -3.1663
     10  -6.8318  1.6258    -9.2101 -4.4089
     11  -7.4224  1.4866    -6.0229 -5.1378
     12  -7.7550  1.2984    -4.7872 -6.0215
     13  -7.8383  1.1308    -4.6948 -6.2850
     14  -8.0786  0.9932    -3.7852 -6.7494
     15  -8.1140  0.8970    -3.7537 -6.8285
     16  -8.2749  0.7971    -3.1673 -7.1281
     17  -8.2889  0.7493    -3.1566 -7.1460
     18  -8.4047  0.6769    -2.7454 -7.3734
     19  -8.4493  0.6389    -2.5994 -7.4448

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.1002  0.0596     0.0026  0.1897
      1   0.0994  0.0599     0.0019  0.1895
      2   0.0977  0.0603     0.0008  0.1892
      3   0.0915  0.0617     0.0001  0.1880
      4   0.0605  0.0550     0.0000  0.1693
      5   0.0159  0.0173     0.0000  0.0473
      6   0.0063  0.0057     0.0000  0.0134
      7   0.0074  0.0055     0.0000  0.0138
      8   0.0053  0.0036     0.0000  0.0069
      9   0.0062  0.0031     0.0000  0.0070
     10   0.0067  0.0027     0.0001  0.0071
     11   0.0067  0.0025     0.0001  0.0069
     12   0.0069  0.0023     0.0001  0.0070
     13   0.0071  0.0020     0.0002  0.0070
     14   0.0072  0.0019     0.0003  0.0070
     15   0.0073  0.0018     0.0004  0.0070
     16   0.0073  0.0018     0.0004  0.0076
     17   0.0074  0.0017     0.0004  0.0077
     18   0.0074  0.0018     0.0004  0.0084
     19   0.0075  0.0019     0.0005  0.0093

