Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -7.2276  1.4003    -7.0588 -5.4084
      1  -6.2063  0.9546    -7.3549 -5.1027
      2  -5.7896  0.7811    -6.5774 -4.8951
      3  -5.4748  0.7318    -6.1441 -4.5590
      4  -5.2746  0.7166    -5.9045 -4.2828
      5  -4.9787  0.8163    -5.7367 -3.6946
      6  -4.5812  0.9579    -5.5041 -2.9364
      7  -4.0575  1.1292    -5.2628 -1.9960
      8  -3.4312  1.3607    -5.2299 -1.0573
      9  -3.7359  1.0516    -5.0592 -2.2301
     10  -3.9106  0.8589    -4.9987 -2.8994
     11  -4.0586  0.7462    -5.0332 -3.2454
     12  -4.2088  0.6818    -5.1297 -3.5266
     13  -4.3268  0.6222    -5.1899 -3.7523
     14  -4.2420  0.5456    -4.9827 -3.7312
     15  -4.2870  0.4643    -4.9853 -3.8567
     16  -4.2315  0.4035    -4.8891 -3.8334
     17  -4.2676  0.3513    -4.9005 -3.9605
     18  -4.3634  0.3467    -4.9663 -4.0280
     19  -4.3263  0.3042    -4.9009 -4.0172

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.1021  0.0594     0.0024  0.1900
      1   0.1002  0.0604     0.0012  0.1898
      2   0.0999  0.0603     0.0020  0.1898
      3   0.0956  0.0613     0.0017  0.1892
      4   0.0889  0.0611     0.0019  0.1876
      5   0.0619  0.0525     0.0007  0.1670
      6   0.0319  0.0302     0.0001  0.0907
      7   0.0154  0.0124     0.0001  0.0367
      8   0.0090  0.0058     0.0000  0.0174
      9   0.0102  0.0063     0.0001  0.0192
     10   0.0113  0.0066     0.0001  0.0203
     11   0.0123  0.0069     0.0002  0.0218
     12   0.0129  0.0071     0.0003  0.0230
     13   0.0134  0.0072     0.0004  0.0240
     14   0.0143  0.0075     0.0007  0.0253
     15   0.0152  0.0076     0.0010  0.0262
     16   0.0162  0.0078     0.0014  0.0271
     17   0.0170  0.0078     0.0018  0.0277
     18   0.0167  0.0076     0.0017  0.0272
     19   0.0175  0.0077     0.0022  0.0280

