Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -5.2597  2.3669    -9.0661 -1.7012
      1  -7.4214  1.2275    -6.5466 -5.8861
      2  -8.2008  0.8824    -3.7541 -7.3863
      3  -8.6159  0.7343    -2.2333 -8.0757
      4  -8.3240  0.7163    -9.1756 -7.9186
      5  -8.1217  0.7128    -8.8551 -7.7257
      6  -8.2138  0.5750    -8.8800 -8.0153
      7  -7.8453  1.4052    -9.1472 -4.9991
      8  -8.0246  1.1038    -9.1518 -7.3725
      9  -8.0203  0.9107    -8.9557 -7.5776
     10  -8.1224  0.7583    -8.9894 -7.8138
     11  -8.0934  0.6217    -8.7890 -7.8411
     12  -8.1593  0.5222    -8.8202 -7.9332
     13  -8.0203  0.8897    -8.9285 -7.6753
     14  -8.0357  0.7066    -8.7936 -7.7336
     15  -8.0002  0.6554    -8.6686 -7.7180
     16  -7.9709  0.5984    -8.6004 -7.7077
     17  -8.0533  0.6403    -8.6815 -7.8233
     18  -8.0569  0.5070    -8.6258 -7.8669
     19  -8.1110  0.4379    -8.6453 -7.9220

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.1030  0.0583     0.0079  0.1900
      1   0.1028  0.0583     0.0077  0.1900
      2   0.1039  0.0577     0.0096  0.1901
      3   0.1065  0.0569     0.0122  0.1905
      4   0.1021  0.0578     0.0098  0.1898
      5   0.1008  0.0588     0.0081  0.1898
      6   0.1117  0.0571     0.0138  0.1918
      7   0.0380  0.0330     0.0001  0.1009
      8   0.0426  0.0333     0.0001  0.1056
      9   0.0483  0.0346     0.0019  0.1132
     10   0.0537  0.0360     0.0050  0.1209
     11   0.0595  0.0369     0.0081  0.1279
     12   0.0646  0.0381     0.0105  0.1349
     13   0.0392  0.0248     0.0019  0.0820
     14   0.0424  0.0247     0.0052  0.0849
     15   0.0446  0.0255     0.0065  0.0884
     16   0.0470  0.0262     0.0076  0.0922
     17   0.0455  0.0257     0.0071  0.0895
     18   0.0483  0.0256     0.0094  0.0922
     19   0.0517  0.0264     0.0114  0.0969

