Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -1.2546  1.3783    -3.4954 -0.1248
      1  -1.7563  1.2303    -3.9545 -1.0691
      2  -1.4401  1.1837    -3.1274 -0.8958
      3  -1.5935  1.1652    -3.3879 -1.1578
      4  -1.4485  0.8904    -1.7931 -1.1574
      5  -1.6883  1.7106    -6.5561 -0.7334
      6  -1.5267  1.6140    -6.0430 -0.6320
      7  -1.3679  1.2757    -3.8618 -0.8641
      8  -1.2326  1.0320    -1.5866 -0.8636
      9  -1.1709  0.7855    -1.5024 -1.0188
     10  -1.1354  0.5987    -1.4580 -1.0682
     11  -1.1108  0.4457    -1.4287 -1.0719
     12  -1.0967  0.3309    -1.4111 -1.0737
     13  -1.0884  0.2452    -1.3993 -1.0745
     14  -1.0813  0.1783    -1.3705 -1.0745
     15  -1.0793  0.1364    -1.3660 -1.0749
     16  -1.0789  0.1107    -1.3710 -1.0753
     17  -1.0752  0.0862    -1.3243 -1.0751
     18  -1.1363  0.1697    -1.5419 -1.0793
     19  -1.1362  0.1485    -1.5422 -1.0795

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.0955  0.0616     0.0001  0.1891
      1   0.0945  0.0619     0.0001  0.1889
      2   0.0958  0.0619     0.0001  0.1893
      3   0.0963  0.0618     0.0001  0.1893
      4   0.1082  0.0586     0.0024  0.1911
      5   0.0456  0.0413     0.0000  0.1241
      6   0.0492  0.0434     0.0000  0.1325
      7   0.0570  0.0431     0.0001  0.1381
      8   0.0645  0.0440     0.0001  0.1457
      9   0.0705  0.0428     0.0060  0.1493
     10   0.0758  0.0419     0.0131  0.1527
     11   0.0791  0.0411     0.0182  0.1547
     12   0.0817  0.0404     0.0220  0.1562
     13   0.0833  0.0399     0.0244  0.1570
     14   0.0841  0.0395     0.0262  0.1573
     15   0.0853  0.0392     0.0281  0.1579
     16   0.0879  0.0392     0.0299  0.1602
     17   0.0889  0.0388     0.0316  0.1606
     18   0.0609  0.0266     0.0217  0.1072
     19   0.0617  0.0265     0.0225  0.1079

