  0 1207 680.00  0.00 800.00  0.71  1
  1  754 420.00  0.00 800.00 260.00  0
  2  822 460.00  0.00 800.00 26.00  1
  3  698 390.00  0.00 800.00 104.00  0
  4  769 430.00  0.00 800.00 52.00  1
  5  608 340.00  0.00 800.00 104.00  0
  6  751 420.00  0.00 800.00 52.00  1
  7  626 350.00  0.00 800.00 104.00  0
  8  626 330.00  0.00 800.00 156.00  0
  9  751 420.00  0.00 800.00 52.00  1
 10  859 480.00  0.00 800.00 52.00  1
 11  626 350.00  0.00 800.00 104.00  0
 12  626 350.00  0.00 800.00 52.00  1
 13  626 370.00  0.00 800.00 156.00  0
 14  626 370.00  0.00 800.00 52.00  0
 15  571 320.00  0.00 800.00 52.00  1
 16  643 360.00  0.00 800.00 52.00  1
 17  716 400.00  0.00 800.00 104.00  0
 18  697 390.00  0.00 800.00 52.00  0
 19  535 300.00  0.00 800.00 52.00  1
