Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -1.0589  1.5544    -4.8767 -0.0919
      1  -1.4636  1.5086    -5.4209 -0.7546
      2  -1.5726  1.4149    -5.1131 -1.0124
      3  -1.8319  1.5422    -6.0775 -1.1529
      4  -3.2060  2.3614    -8.4779 -1.1806
      5  -2.3659  1.7856    -7.2366 -1.1816
      6  -3.4252  2.1903    -8.4176 -1.1217
      7  -3.0943  1.8932    -7.8328 -1.3339
      8  -2.8403  1.5873    -6.8081 -1.4190
      9  -2.6730  1.3254    -5.5582 -1.4710
     10  -2.3574  1.0370    -3.9169 -1.4306
     11  -2.7921  1.1830    -5.0253 -1.6991
     12  -2.7077  0.9829    -4.3033 -1.7407
     13  -2.5203  0.8172    -3.6624 -1.6894
     14  -2.8210  0.9088    -4.1424 -1.9437
     15  -2.6923  0.7621    -3.7010 -1.9199
     16  -2.7728  0.6771    -3.7455 -2.1204
     17  -2.6801  0.5825    -3.5291 -2.0786
     18  -2.5203  0.6464    -3.3571 -1.8912
     19  -2.5735  0.5655    -3.3721 -2.0177

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.0935  0.0630     0.0001  0.1891
      1   0.0920  0.0641     0.0000  0.1891
      2   0.0949  0.0637     0.0001  0.1897
      3   0.0879  0.0653     0.0001  0.1889
      4   0.0168  0.0217     0.0000  0.0587
      5   0.0227  0.0243     0.0000  0.0681
      6   0.0067  0.0072     0.0000  0.0178
      7   0.0083  0.0072     0.0000  0.0190
      8   0.0095  0.0070     0.0000  0.0197
      9   0.0103  0.0067     0.0001  0.0200
     10   0.0116  0.0071     0.0001  0.0216
     11   0.0091  0.0054     0.0001  0.0164
     12   0.0095  0.0051     0.0001  0.0167
     13   0.0103  0.0054     0.0003  0.0181
     14   0.0091  0.0047     0.0001  0.0147
     15   0.0097  0.0049     0.0003  0.0162
     16   0.0102  0.0051     0.0004  0.0175
     17   0.0109  0.0053     0.0005  0.0184
     18   0.0097  0.0046     0.0004  0.0152
     19   0.0103  0.0048     0.0005  0.0165

