Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -5.9883  1.9617    -9.1398 -3.1147
      1  -4.4639  1.1297    -6.2228 -2.9701
      2  -3.6720  0.7555    -4.7077 -2.8803
      3  -4.0994  0.5528    -4.7554 -3.6932
      4  -3.8331  0.4758    -4.3719 -3.5348
      5  -3.9788  0.4346    -4.4463 -3.7709
      6  -3.9619  0.3238    -4.4061 -3.7807
      7  -3.9556  0.2540    -4.3887 -3.7866
      8  -3.9638  0.1980    -4.3863 -3.8285
      9  -3.9603  0.1661    -4.3737 -3.8303
     10  -3.9585  0.1475    -4.3663 -3.8316
     11  -3.7388  0.6364    -4.4238 -3.1944
     12  -3.5421  1.0879    -5.2094 -2.3360
     13  -3.4864  0.8635    -4.4104 -2.5358
     14  -3.5287  0.6903    -4.3313 -2.8608
     15  -3.5688  0.5643    -4.3015 -3.0425
     16  -3.6108  0.4758    -4.3040 -3.1943
     17  -3.7818  0.5999    -4.5201 -3.2689
     18  -4.0090  0.9614    -5.2050 -3.2128
     19  -3.9803  0.7573    -4.8854 -3.3424

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.1008  0.0591     0.0054  0.1897
      1   0.1007  0.0591     0.0055  0.1897
      2   0.1009  0.0589     0.0060  0.1897
      3   0.1027  0.0585     0.0075  0.1900
      4   0.1025  0.0582     0.0080  0.1898
      5   0.1024  0.0575     0.0088  0.1895
      6   0.1053  0.0560     0.0141  0.1899
      7   0.1066  0.0552     0.0169  0.1900
      8   0.1095  0.0538     0.0213  0.1903
      9   0.1105  0.0532     0.0232  0.1904
     10   0.1112  0.0528     0.0245  0.1905
     11   0.0213  0.0134     0.0007  0.0432
     12   0.0115  0.0078     0.0000  0.0227
     13   0.0123  0.0075     0.0001  0.0231
     14   0.0133  0.0075     0.0003  0.0243
     15   0.0144  0.0075     0.0007  0.0254
     16   0.0153  0.0076     0.0010  0.0263
     17   0.0124  0.0062     0.0004  0.0202
     18   0.0086  0.0047     0.0000  0.0135
     19   0.0090  0.0044     0.0001  0.0136

