trialNum matrixIndex leftValue leftTime rightValue rightTime choice
  0  587 330.00  0.00 800.00 21.50  1
  1  701 390.00  0.00 800.00 520.00  0
  2  698 390.00  0.00 800.00 104.00  0
  3  822 460.00  0.00 800.00 26.00  1
  4  769 430.00  0.00 800.00 52.00  0
  5  661 370.00  0.00 800.00 52.00  1
  6  769 410.00  0.00 800.00 104.00  0
  7  769 440.00  0.00 800.00 104.00  0
  8  769 450.00  0.00 800.00 26.00  1
  9  769 410.00  0.00 800.00 104.00  0
 10  769 420.00  0.00 800.00 104.00  0
 11  769 410.00  0.00 800.00 26.00  0
 12  660 370.00  0.00 800.00 26.00  0
 13 1421 790.00  0.00 800.00 520.00  0
 14  497 280.00  0.00 800.00 21.50  1
 15  587 330.00  0.00 800.00 21.50  1
 16  606 340.00  0.00 800.00 26.00  1
 17  751 420.00  0.00 800.00 52.00  1
 18  967 540.00  0.00 800.00 52.00  1
 19    0  10.00  0.00 800.00  0.43  1
