Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -2.8380  1.7685    -5.6051 -0.3021
      1  -1.4410  1.1073    -2.8723 -0.1585
      2  -2.2073  0.8101    -3.0614 -1.5998
      3  -2.6219  0.7709    -3.4031 -2.2035
      4  -2.4334  0.7137    -2.8832 -2.1171
      5  -2.4504  0.5563    -2.8590 -2.3740
      6  -2.7633  1.0105    -4.4416 -2.3618
      7  -2.6433  1.0519    -4.3640 -2.1902
      8  -2.5271  0.8899    -3.1374 -2.1954
      9  -2.4493  0.6940    -2.8188 -2.2246
     10  -2.4547  0.6146    -2.8230 -2.3797
     11  -2.5774  0.8750    -3.1584 -2.3785
     12  -2.4952  0.7345    -2.8770 -2.3788
     13  -2.4442  0.5384    -2.8224 -2.3809
     14  -2.4091  0.4176    -2.6828 -2.3816
     15  -2.4985  0.6920    -2.8778 -2.3786
     16  -2.5505  0.7281    -2.8946 -2.3834
     17  -2.4853  0.6375    -2.8671 -2.3819
     18  -2.4381  0.5174    -2.8029 -2.3821
     19  -2.4091  0.3936    -2.7021 -2.3831

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.1003  0.0595     0.0044  0.1897
      1   0.1006  0.0593     0.0049  0.1897
      2   0.0996  0.0597     0.0038  0.1896
      3   0.0966  0.0603     0.0022  0.1890
      4   0.0981  0.0599     0.0026  0.1892
      5   0.1091  0.0573     0.0085  0.1910
      6   0.0525  0.0419     0.0001  0.1316
      7   0.0507  0.0400     0.0001  0.1247
      8   0.0588  0.0416     0.0001  0.1346
      9   0.0656  0.0413     0.0023  0.1400
     10   0.0714  0.0421     0.0054  0.1472
     11   0.0486  0.0320     0.0001  0.1035
     12   0.0545  0.0328     0.0012  0.1102
     13   0.0573  0.0318     0.0073  0.1118
     14   0.0617  0.0316     0.0115  0.1158
     15   0.0427  0.0238     0.0020  0.0816
     16   0.0400  0.0223     0.0011  0.0758
     17   0.0426  0.0225     0.0035  0.0791
     18   0.0459  0.0226     0.0074  0.0820
     19   0.0485  0.0221     0.0109  0.0840

