Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -1.0608  1.5506    -4.8098 -0.0909
      1  -1.4446  1.4707    -5.1262 -0.6937
      2  -1.5743  1.3631    -4.7159 -1.0068
      3  -1.8214  1.4242    -5.4140 -1.1602
      4  -2.5188  1.8359    -7.4511 -1.3341
      5  -3.3852  2.1044    -8.3209 -1.3975
      6  -5.1230  2.5893    -9.0704 -0.7865
      7  -5.3193  2.5061    -9.0918 -1.0188
      8  -5.5171  2.4037    -9.1113 -1.4101
      9  -5.6833  2.3014    -9.1261 -1.8707
     10  -6.6442  2.0324    -8.0003 -2.4164
     11  -6.8440  1.8374    -7.6067 -3.2095
     12  -5.7279  1.8023    -8.7252 -2.4116
     13  -6.3272  1.6286    -8.9299 -3.2805
     14  -6.4385  1.4612    -8.9219 -4.2157
     15  -5.8823  1.2863    -8.0198 -3.7763
     16  -5.5593  1.1463    -7.2243 -3.5776
     17  -5.8832  1.0108    -7.4105 -4.6000
     18  -5.9148  0.8998    -7.3480 -4.7852
     19  -5.6844  0.8195    -6.9045 -4.5881

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.0940  0.0630     0.0000  0.1891
      1   0.0906  0.0637     0.0000  0.1885
      2   0.0916  0.0637     0.0001  0.1889
      3   0.0794  0.0631     0.0000  0.1859
      4   0.0293  0.0332     0.0000  0.0958
      5   0.0101  0.0106     0.0000  0.0276
      6   0.0024  0.0033     0.0000  0.0060
      7   0.0035  0.0036     0.0000  0.0064
      8   0.0046  0.0035     0.0000  0.0066
      9   0.0055  0.0031     0.0000  0.0067
     10   0.0057  0.0029     0.0000  0.0067
     11   0.0063  0.0024     0.0000  0.0067
     12   0.0060  0.0027     0.0000  0.0067
     13   0.0061  0.0026     0.0000  0.0067
     14   0.0066  0.0021     0.0001  0.0067
     15   0.0066  0.0021     0.0001  0.0068
     16   0.0067  0.0021     0.0001  0.0068
     17   0.0068  0.0021     0.0001  0.0068
     18   0.0070  0.0018     0.0002  0.0069
     19   0.0071  0.0018     0.0003  0.0069

