Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -6.3474  1.7707    -9.1766 -3.8097
      1  -4.9542  1.0228    -6.5068 -3.6830
      2  -5.7608  0.7146    -6.6030 -5.1662
      3  -6.1675  0.6970    -6.8793 -5.8299
      4  -6.3475  0.7195    -7.2732 -6.1116
      5  -6.2782  0.5123    -6.6599 -6.1308
      6  -6.0076  0.9731    -6.7931 -4.8998
      7  -6.1138  1.0460    -7.0359 -4.5969
      8  -5.7421  2.1368    -8.6861 -1.0871
      9  -6.0498  1.8153    -8.5018 -1.6660
     10  -6.2835  1.4818    -8.3135 -2.7821
     11  -6.4353  1.1910    -8.1626 -4.7775
     12  -6.3756  0.9693    -7.6333 -5.5496
     13  -6.5105  1.0311    -7.9077 -5.6497
     14  -6.5779  0.8325    -7.8468 -5.9688
     15  -6.8221  1.2539    -8.6081 -5.0554
     16  -6.9246  1.0285    -8.5747 -6.0755
     17  -6.9805  0.8760    -8.5547 -6.1853
     18  -7.2677  1.0208    -8.9335 -6.3552
     19  -7.3176  0.8882    -8.9305 -6.4301

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.1007  0.0592     0.0050  0.1897
      1   0.1004  0.0593     0.0048  0.1896
      2   0.0996  0.0595     0.0040  0.1895
      3   0.0974  0.0605     0.0023  0.1893
      4   0.0962  0.0613     0.0019  0.1893
      5   0.1097  0.0576     0.0081  0.1912
      6   0.0489  0.0397     0.0001  0.1234
      7   0.0467  0.0387     0.0000  0.1187
      8   0.0072  0.0092     0.0000  0.0226
      9   0.0093  0.0096     0.0000  0.0251
     10   0.0109  0.0095     0.0000  0.0264
     11   0.0120  0.0093     0.0000  0.0270
     12   0.0137  0.0098     0.0001  0.0296
     13   0.0124  0.0087     0.0001  0.0262
     14   0.0129  0.0085     0.0002  0.0264
     15   0.0078  0.0043     0.0000  0.0130
     16   0.0083  0.0041     0.0001  0.0132
     17   0.0085  0.0039     0.0003  0.0132
     18   0.0074  0.0027     0.0001  0.0104
     19   0.0075  0.0025     0.0003  0.0105

