Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -1.1564  1.6847    -5.6737 -0.0948
      1  -0.7088  1.5247    -4.3887 -0.0545
      2  -1.0603  1.6666    -5.6775 -0.3298
      3  -0.8094  1.3195    -3.1351 -0.3167
      4  -1.8482  2.4015    -7.9390 -0.3230
      5  -1.3373  1.9434    -6.8450 -0.3133
      6  -1.0040  1.5172    -4.8525 -0.3100
      7  -0.8422  1.3496    -3.4324 -0.2819
      8  -0.7460  1.0697    -1.2590 -0.3820
      9  -0.6452  0.8438    -0.9821 -0.3778
     10  -0.6083  0.6424    -0.9326 -0.5232
     11  -0.5719  0.4621    -0.8730 -0.5358
     12  -0.5612  0.3418    -0.8543 -0.5409
     13  -0.5494  0.2479    -0.8001 -0.5413
     14  -0.5434  0.1821    -0.7968 -0.5415
     15  -0.6027  0.3391    -1.0085 -0.5438
     16  -0.5877  0.2577    -0.9968 -0.5439
     17  -0.5873  0.2021    -0.9969 -0.5468
     18  -0.5831  0.1626    -0.9931 -0.5469
     19  -0.5834  0.1390    -0.9932 -0.5481

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.0916  0.0635     0.0001  0.1888
      1   0.0944  0.0622     0.0001  0.1889
      2   0.0858  0.0634     0.0000  0.1872
      3   0.0996  0.0614     0.0001  0.1899
      4   0.0331  0.0380     0.0000  0.1077
      5   0.0392  0.0384     0.0000  0.1131
      6   0.0449  0.0383     0.0000  0.1176
      7   0.0507  0.0406     0.0001  0.1273
      8   0.0577  0.0406     0.0002  0.1330
      9   0.0642  0.0410     0.0043  0.1391
     10   0.0695  0.0401     0.0095  0.1427
     11   0.0711  0.0394     0.0132  0.1434
     12   0.0736  0.0387     0.0168  0.1448
     13   0.0749  0.0383     0.0192  0.1455
     14   0.0758  0.0379     0.0211  0.1460
     15   0.0502  0.0247     0.0130  0.0925
     16   0.0517  0.0245     0.0148  0.0937
     17   0.0529  0.0242     0.0164  0.0944
     18   0.0535  0.0240     0.0173  0.0948
     19   0.0540  0.0238     0.0183  0.0951

