Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -1.1564  1.6847    -5.6737 -0.0948
      1  -1.5931  1.6975    -6.3641 -0.6950
      2  -1.2663  1.6004    -5.6601 -0.5523
      3  -1.1546  1.3255    -3.8749 -0.7992
      4  -1.0302  1.0347    -1.7061 -0.8052
      5  -0.9120  0.7038    -1.2791 -0.8053
      6  -0.8756  0.5225    -1.2565 -0.8082
      7  -0.8433  0.3711    -1.2102 -0.8081
      8  -0.8274  0.2682    -1.1772 -0.8081
      9  -0.8265  0.2032    -1.1786 -0.8117
     10  -0.8223  0.1521    -1.1688 -0.8117
     11  -0.8201  0.1189    -1.1630 -0.8117
     12  -0.8199  0.0993    -1.1627 -0.8121
     13  -0.8201  0.0873    -1.1633 -0.8125
     14  -0.8175  0.0769    -1.1430 -0.8124
     15  -0.8176  0.0730    -1.1433 -0.8126
     16  -0.8156  0.0677    -1.1231 -0.8125
     17  -0.8154  0.0661    -1.1201 -0.8125
     18  -0.8150  0.0650    -1.1159 -0.8125
     19  -0.8136  0.0620    -1.0958 -0.8124

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.0916  0.0635     0.0001  0.1888
      1   0.0884  0.0643     0.0001  0.1884
      2   0.0864  0.0634     0.0000  0.1873
      3   0.0996  0.0617     0.0001  0.1899
      4   0.1063  0.0586     0.0022  0.1906
      5   0.1119  0.0553     0.0148  0.1911
      6   0.1150  0.0534     0.0222  0.1914
      7   0.1184  0.0514     0.0293  0.1917
      8   0.1206  0.0500     0.0338  0.1920
      9   0.1242  0.0485     0.0386  0.1924
     10   0.1249  0.0480     0.0404  0.1925
     11   0.1253  0.0476     0.0415  0.1925
     12   0.1259  0.0472     0.0428  0.1926
     13   0.1269  0.0466     0.0446  0.1927
     14   0.1279  0.0461     0.0466  0.1927
     15   0.1284  0.0457     0.0478  0.1928
     16   0.1292  0.0453     0.0493  0.1929
     17   0.1293  0.0451     0.0496  0.1929
     18   0.1295  0.0450     0.0501  0.1929
     19   0.1301  0.0447     0.0511  0.1930

