trialNum matrixIndex leftValue leftTime rightValue rightTime choice
  0  939 530.00  0.00 800.00  2.00  0
  1  705 400.00  0.00 800.00  2.00  0
  2  597 340.00  0.00 800.00  2.00  1
  3  705 400.00  0.00 800.00  2.00  0
  4  597 320.00  0.00 800.00  3.00  1
  5 1108 620.00  0.00 800.00 17.20  0
  6  832 470.00  0.00 800.00  3.00  0
  7  705 400.00  0.00 800.00  2.00  0
  8  543 310.00  0.00 800.00  2.00  1
  9  723 410.00  0.00 800.00  2.00  0
 10  794 450.00  0.00 800.00  1.00  1
 11  723 420.00  0.00 800.00  3.00  0
 12  723 430.00  0.00 800.00  1.00  1
 13  723 390.00  0.00 800.00  3.00  0
 14  723 400.00  0.00 800.00  3.00  0
 15  705 400.00  0.00 800.00  2.00  1
 16  705 380.00  0.00 800.00  3.00  0
 17  705 420.00  0.00 800.00  1.00  1
 18  705 420.00  0.00 800.00  3.00  0
 19  705 390.00  0.00 800.00  1.00  1
