Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -6.2887  1.8071    -9.1709 -3.7009
      1  -4.8925  1.0635    -6.5015 -3.5365
      2  -4.0961  0.7339    -4.9878 -3.4422
      3  -3.6924  0.6656    -4.3647 -3.1776
      4  -3.9757  0.5951    -4.5355 -3.7099
      5  -3.9888  0.4386    -4.4687 -3.7798
      6  -3.9892  0.3418    -4.4546 -3.8161
      7  -3.9871  0.2790    -4.4458 -3.8313
      8  -3.9860  0.2385    -4.4395 -3.8455
      9  -3.9848  0.2138    -4.4352 -3.8522
     10  -3.9729  0.1647    -4.4063 -3.8508
     11  -3.9743  0.1534    -4.4045 -3.8684
     12  -3.9742  0.1476    -4.4030 -3.8722
     13  -3.9744  0.1435    -4.4016 -3.8788
     14  -3.9745  0.1406    -4.4004 -3.8848
     15  -3.9717  0.1311    -4.3920 -3.8840
     16  -3.9690  0.1244    -4.3823 -3.8830
     17  -3.9675  0.1210    -4.3765 -3.8823
     18  -3.9678  0.1203    -4.3762 -3.8860
     19  -3.9671  0.1188    -4.3732 -3.8856

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.1007  0.0594     0.0048  0.1898
      1   0.1005  0.0595     0.0046  0.1898
      2   0.1008  0.0597     0.0044  0.1899
      3   0.0994  0.0602     0.0037  0.1898
      4   0.0963  0.0597     0.0029  0.1887
      5   0.1016  0.0575     0.0088  0.1894
      6   0.1048  0.0561     0.0137  0.1898
      7   0.1064  0.0552     0.0165  0.1899
      8   0.1078  0.0545     0.0188  0.1901
      9   0.1086  0.0540     0.0204  0.1902
     10   0.1102  0.0531     0.0235  0.1904
     11   0.1115  0.0526     0.0252  0.1905
     12   0.1119  0.0523     0.0260  0.1906
     13   0.1125  0.0520     0.0270  0.1906
     14   0.1130  0.0518     0.0279  0.1907
     15   0.1135  0.0515     0.0289  0.1908
     16   0.1141  0.0511     0.0300  0.1908
     17   0.1144  0.0509     0.0307  0.1908
     18   0.1147  0.0508     0.0313  0.1909
     19   0.1149  0.0507     0.0317  0.1909

