trialNum matrixIndex leftValue leftTime rightValue rightTime choice
  0  297 170.00  0.00 800.00 12.90  1
  1  753 420.00  0.00 800.00 156.00  1
  2  971 540.00  0.00 800.00 520.00  1
  3 1223 680.00  0.00 800.00 520.00  0
  4 1115 620.00  0.00 800.00 520.00  0
  5 1043 580.00  0.00 800.00 520.00  1
  6 1133 630.00  0.00 800.00 520.00  0
  7 1043 580.00  0.00 800.00 260.00  0
  8   12  10.00  0.00 800.00 26.00  1
  9   12  30.00  0.00 800.00 52.00  1
 10  755 420.00  0.00 800.00 520.00  0
 11    7  10.00  0.00 800.00  8.60  1
 12    6  10.00  0.00 800.00  6.44  1
 13  629 350.00  0.00 800.00 520.00  1
 14  665 370.00  0.00 800.00 520.00  0
 15    5  10.00  0.00 800.00  4.30  1
 16  611 340.00  0.00 800.00 520.00  0
 17    4  10.00  0.00 800.00  3.00  1
 18  682 380.00  0.00 800.00 260.00  1
 19  539 300.00  0.00 800.00 520.00  1
