Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -1.5683  1.4755    -4.2637 -0.1566
      1  -2.2456  1.3380    -5.3641 -1.3455
      2  -2.7761  1.4416    -6.7686 -1.9851
      3  -3.0855  1.5688    -7.4685 -2.2977
      4  -2.5001  0.8055    -3.0249 -2.2095
      5  -2.4090  0.5624    -2.6373 -2.2140
      6  -2.4111  0.4327    -2.6358 -2.3821
      7  -2.4018  0.3264    -2.6343 -2.3868
      8  -2.6442  0.9194    -3.7486 -2.3853
      9  -2.9078  1.1602    -5.5928 -2.4037
     10  -2.7181  0.8036    -3.3806 -2.4100
     11  -2.7347  0.6978    -3.2875 -2.4824
     12  -2.6715  0.5067    -2.9873 -2.4873
     13  -2.6696  0.3989    -2.9411 -2.6345
     14  -2.6688  0.3231    -2.9199 -2.6475
     15  -2.6506  0.2316    -2.8949 -2.6475
     16  -2.6469  0.1719    -2.8941 -2.6487
     17  -2.6407  0.1253    -2.8909 -2.6487
     18  -2.6415  0.0951    -2.8907 -2.6506
     19  -2.6634  0.2214    -2.9607 -2.6511

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.0956  0.0615     0.0001  0.1891
      1   0.0937  0.0621     0.0001  0.1889
      2   0.0884  0.0629     0.0001  0.1879
      3   0.0853  0.0636     0.0004  0.1874
      4   0.1045  0.0592     0.0021  0.1904
      5   0.1137  0.0557     0.0124  0.1916
      6   0.1226  0.0521     0.0247  0.1926
      7   0.1272  0.0493     0.0353  0.1931
      8   0.0611  0.0413     0.0001  0.1356
      9   0.0453  0.0367     0.0001  0.1133
     10   0.0517  0.0360     0.0001  0.1179
     11   0.0572  0.0383     0.0020  0.1276
     12   0.0618  0.0374     0.0080  0.1305
     13   0.0667  0.0377     0.0115  0.1354
     14   0.0718  0.0382     0.0146  0.1409
     15   0.0754  0.0373     0.0201  0.1431
     16   0.0766  0.0369     0.0221  0.1437
     17   0.0797  0.0365     0.0259  0.1460
     18   0.0826  0.0363     0.0287  0.1484
     19   0.0545  0.0249     0.0154  0.0962

