trialNum matrixIndex leftValue leftTime rightValue rightTime choice
  0   98  60.00  0.00 800.00 10.80  1
  1  698 390.00  0.00 800.00 104.00  0
  2  693 390.00  0.00 800.00 12.90  1
  3  822 460.00  0.00 800.00 26.00  1
  4  769 430.00  0.00 800.00 52.00  1
  5  608 340.00  0.00 800.00 104.00  1
  6  716 400.00  0.00 800.00 104.00  1
  7  610 340.00  0.00 800.00 260.00  1
  8  737 410.00  0.00 800.00 520.00  0
  9  808 450.00  0.00 800.00 260.00  1
 10  899 500.00  0.00 800.00 520.00  0
 11  881 490.00  0.00 800.00 520.00  0
 12  755 420.00  0.00 800.00 520.00  0
 13  682 380.00  0.00 800.00 260.00  1
 14  809 450.00  0.00 800.00 520.00  1
 15    5  10.00  0.00 800.00  4.30  1
 16  917 510.00  0.00 800.00 520.00  0
 17  556 310.00  0.00 800.00 260.00  1
 18  881 490.00  0.00 800.00 520.00  0
 19  646 360.00  0.00 800.00 260.00  1
