Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -3.6443  2.1987    -7.1704 -0.3845
      1  -5.5755  1.1820    -7.4025 -4.0576
      2  -4.7314  0.7553    -5.7629 -3.9791
      3  -4.1910  0.6309    -4.8383 -3.7481
      4  -4.0296  0.5812    -4.5367 -3.6252
      5  -3.8603  0.6273    -4.3848 -3.1752
      6  -3.3673  1.1319    -4.2989 -1.0329
      7  -3.7294  0.6881    -4.2900 -3.0176
      8  -3.7129  0.5681    -4.2086 -3.1361
      9  -3.7064  0.4886    -4.2010 -3.1947
     10  -3.7032  0.4373    -4.1944 -3.2318
     11  -3.7591  0.2887    -4.1954 -3.4788
     12  -3.7844  0.2241    -4.1963 -3.5628
     13  -3.7919  0.1969    -4.1964 -3.6012
     14  -3.7994  0.1796    -4.1968 -3.6527
     15  -3.8057  0.1686    -4.1972 -3.6924
     16  -3.8035  0.1638    -4.1951 -3.6924
     17  -3.8017  0.1608    -4.1935 -3.6924
     18  -3.7995  0.1584    -4.1916 -3.6924
     19  -3.8014  0.1561    -4.1918 -3.6942

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.1009  0.0591     0.0058  0.1897
      1   0.1003  0.0593     0.0053  0.1896
      2   0.1012  0.0592     0.0055  0.1898
      3   0.1002  0.0600     0.0039  0.1898
      4   0.1027  0.0593     0.0050  0.1902
      5   0.0992  0.0603     0.0039  0.1897
      6   0.0364  0.0352     0.0001  0.1062
      7   0.0471  0.0369     0.0010  0.1174
      8   0.0495  0.0366     0.0027  0.1194
      9   0.0512  0.0364     0.0041  0.1207
     10   0.0530  0.0363     0.0056  0.1223
     11   0.0561  0.0359     0.0092  0.1244
     12   0.0586  0.0356     0.0120  0.1265
     13   0.0596  0.0354     0.0139  0.1272
     14   0.0608  0.0352     0.0150  0.1282
     15   0.0620  0.0351     0.0161  0.1291
     16   0.0626  0.0350     0.0168  0.1296
     17   0.0632  0.0349     0.0175  0.1300
     18   0.0640  0.0348     0.0184  0.1306
     19   0.0644  0.0348     0.0190  0.1308

