trialNum matrixIndex leftValue leftTime rightValue rightTime choice
  0 1222 680.00  0.00 800.00 260.00  0
  1  679 380.00  0.00 800.00 52.00  1
  2  754 420.00  0.00 800.00 260.00  0
  3  698 390.00  0.00 800.00 104.00  0
  4  608 340.00  0.00 800.00 104.00  0
  5  769 430.00  0.00 800.00 52.00  0
  6  661 370.00  0.00 800.00 52.00  0
  7  785 440.00  0.00 800.00 21.50  1
  8  661 380.00  0.00 800.00 104.00  0
  9  661 390.00  0.00 800.00 104.00  0
 10  661 350.00  0.00 800.00 104.00  0
 11  661 360.00  0.00 800.00 26.00  1
 12  661 390.00  0.00 800.00 26.00  1
 13  661 350.00  0.00 800.00 26.00  1
 14  661 380.00  0.00 800.00 26.00  1
 15  661 390.00  0.00 800.00 26.00  1
 16  661 370.00  0.00 800.00 104.00  0
 17  661 370.00  0.00 800.00 104.00  0
 18  661 350.00  0.00 800.00 104.00  0
 19  661 350.00  0.00 800.00 26.00  1
