Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -4.5811  2.7418    -8.9964 -0.4576
      1  -4.5671  2.7474    -8.9947 -0.4445
      2  -4.5371  2.7588    -8.9910 -0.4195
      3  -4.4809  2.7788    -8.9838 -0.3792
      4  -4.3926  2.8073    -8.9720 -0.3281
      5  -4.2653  2.8424    -8.9538 -0.2725
      6  -4.1131  2.8757    -8.9300 -0.2321
      7  -3.9634  2.8995    -8.9043 -0.2038
      8  -5.5763  2.5078    -9.1346 -0.8504
      9  -5.7830  2.4089    -9.1541 -1.0341
     10  -6.7762  2.1272    -6.8931 -1.9887
     11  -7.0503  1.8653    -6.4204 -3.1774
     12  -7.5303  1.5549    -5.0754 -4.8404
     13  -7.6603  1.3443    -4.9200 -5.6461
     14  -7.9549  1.1390    -4.0095 -6.4115
     15  -8.1580  0.9927    -3.3666 -6.8622
     16  -8.1969  0.8835    -3.3360 -6.9256
     17  -8.3451  0.7857    -2.8402 -7.2154
     18  -8.4524  0.7070    -2.4964 -7.4321
     19  -8.5379  0.6427    -2.2281 -7.6118

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.0002  0.0010     0.0000  0.0001
      1   0.0004  0.0013     0.0000  0.0001
      2   0.0006  0.0018     0.0000  0.0021
      3   0.0010  0.0023     0.0000  0.0043
      4   0.0016  0.0029     0.0000  0.0055
      5   0.0025  0.0034     0.0000  0.0061
      6   0.0036  0.0036     0.0000  0.0064
      7   0.0047  0.0034     0.0000  0.0066
      8   0.0044  0.0034     0.0000  0.0065
      9   0.0053  0.0030     0.0000  0.0066
     10   0.0055  0.0030     0.0000  0.0066
     11   0.0061  0.0024     0.0000  0.0067
     12   0.0064  0.0021     0.0001  0.0067
     13   0.0067  0.0017     0.0001  0.0067
     14   0.0068  0.0015     0.0002  0.0067
     15   0.0069  0.0013     0.0003  0.0067
     16   0.0070  0.0011     0.0004  0.0067
     17   0.0070  0.0011     0.0004  0.0067
     18   0.0071  0.0011     0.0004  0.0068
     19   0.0071  0.0011     0.0004  0.0068

