Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -4.3105  2.5442    -8.8637 -0.5268
      1  -4.1864  2.4067    -8.7638 -0.5847
      2  -4.0341  2.1992    -8.5785 -0.6967
      3  -3.8927  1.9371    -8.2634 -0.9134
      4  -3.7584  1.6424    -7.6646 -1.2631
      5  -3.6543  1.3613    -6.5511 -1.6957
      6  -3.5846  1.1303    -5.0806 -2.0255
      7  -3.5427  0.9625    -4.7629 -2.1984
      8  -3.5193  0.8521    -4.6870 -2.2860
      9  -3.7878  0.7722    -4.8574 -2.8279
     10  -3.9809  0.7790    -5.0042 -3.0894
     11  -3.9696  0.6740    -4.9646 -3.1585
     12  -4.0939  0.6111    -5.0221 -3.3778
     13  -4.2735  0.6518    -5.2254 -3.5587
     14  -4.3884  0.6197    -5.3020 -3.7422
     15  -4.3854  0.5428    -5.2635 -3.7606
     16  -4.4702  0.5102    -5.3491 -3.8979
     17  -4.6128  0.5463    -5.5071 -4.0186
     18  -4.6802  0.5117    -5.5530 -4.1145
     19  -4.7547  0.4906    -5.6390 -4.2329

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.0011  0.0026     0.0000  0.0048
      1   0.0019  0.0031     0.0000  0.0058
      2   0.0029  0.0036     0.0000  0.0063
      3   0.0040  0.0037     0.0000  0.0066
      4   0.0051  0.0034     0.0000  0.0067
      5   0.0059  0.0030     0.0000  0.0068
      6   0.0065  0.0025     0.0000  0.0068
      7   0.0068  0.0021     0.0001  0.0069
      8   0.0070  0.0018     0.0002  0.0069
      9   0.0070  0.0019     0.0002  0.0069
     10   0.0069  0.0020     0.0001  0.0069
     11   0.0071  0.0017     0.0003  0.0069
     12   0.0072  0.0018     0.0003  0.0070
     13   0.0070  0.0017     0.0003  0.0068
     14   0.0070  0.0017     0.0003  0.0069
     15   0.0071  0.0015     0.0004  0.0069
     16   0.0072  0.0015     0.0004  0.0069
     17   0.0070  0.0013     0.0003  0.0068
     18   0.0071  0.0013     0.0004  0.0068
     19   0.0071  0.0013     0.0004  0.0068

