trialNum matrixIndex leftValue leftTime rightValue rightTime choice
  0  946 530.00  0.00 800.00 17.20  1
  1  791 440.00  0.00 800.00 520.00  0
  2  663 370.00  0.00 800.00 156.00  0
  3  769 430.00  0.00 800.00 52.00  0
  4  661 370.00  0.00 800.00 52.00  1
  5  769 410.00  0.00 800.00 104.00  0
  6  769 420.00  0.00 800.00 104.00  0
  7  769 420.00  0.00 800.00 26.00  1
  8  769 430.00  0.00 800.00 104.00  0
  9  769 440.00  0.00 800.00 26.00  1
 10  769 440.00  0.00 800.00 104.00  0
  0   26  20.00  0.00 800.00 10.80  1
  1  769 430.00  0.00 800.00 52.00  1
  2  769 430.00  0.00 800.00 52.00  1
  3  751 420.00  0.00 800.00 52.00  1
  4  626 350.00  0.00 800.00 104.00  1
  5  626 340.00  0.00 800.00 52.00  1
  6  608 340.00  0.00 800.00 156.00  1
  7  752 420.00  0.00 800.00 156.00  1
  8  879 470.00  0.00 800.00 104.00  1
  9    3  10.00  0.00 800.00  3.00  1
 10  933 500.00  0.00 800.00 260.00  1
 11    2  10.00  0.00 800.00  2.00  1
 12    1  30.00  0.00 800.00  1.00  1
 13    0  10.00  0.00 800.00  0.71  1
 14  933 520.00  0.00 800.00 156.00  1
 15    0  10.00  0.00 800.00  0.43  1
 16  790 430.00  0.00 800.00 520.00  0
 17  754 420.00  0.00 800.00 260.00  1
 18  754 420.00  0.00 800.00 260.00  1
 19  790 440.00  0.00 800.00 260.00  1
