Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -6.3557  1.7851    -9.1786 -3.8313
      1  -4.8255  1.0177    -6.2669 -3.6674
      2  -4.1563  0.7900    -5.0421 -3.3559
      3  -3.7008  0.8154    -4.4198 -2.3817
      4  -3.4451  0.8927    -4.1149 -1.5692
      5  -2.8397  1.2590    -3.9509 -0.5426
      6  -3.3724  0.7624    -3.9708 -2.5092
      7  -3.0786  1.0331    -4.0305 -1.5523
      8  -3.2192  0.7618    -3.8997 -2.5505
      9  -3.0194  1.0083    -4.0799 -1.9282
     10  -3.0644  0.7849    -3.7731 -2.4581
     11  -3.0852  0.6214    -3.6801 -2.6858
     12  -2.9855  0.6022    -3.5437 -2.6419
     13  -2.9840  0.4660    -3.4932 -2.6896
     14  -3.1088  0.5479    -3.6565 -2.7919
     15  -3.1752  0.5186    -3.6853 -2.9177
     16  -3.1363  0.4104    -3.6201 -2.9182
     17  -3.0599  0.5185    -3.5603 -2.7742
     18  -3.0621  0.4116    -3.5354 -2.8896
     19  -3.0029  0.3967    -3.4190 -2.8019

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.1001  0.0595     0.0044  0.1896
      1   0.0991  0.0599     0.0036  0.1895
      2   0.0981  0.0600     0.0035  0.1893
      3   0.0931  0.0613     0.0020  0.1885
      4   0.0888  0.0626     0.0016  0.1880
      5   0.0402  0.0425     0.0001  0.1325
      6   0.0560  0.0463     0.0006  0.1500
      7   0.0275  0.0237     0.0001  0.0708
      8   0.0327  0.0244     0.0002  0.0763
      9   0.0211  0.0161     0.0001  0.0483
     10   0.0240  0.0163     0.0001  0.0516
     11   0.0265  0.0164     0.0013  0.0539
     12   0.0272  0.0169     0.0014  0.0553
     13   0.0287  0.0167     0.0031  0.0567
     14   0.0245  0.0140     0.0017  0.0472
     15   0.0252  0.0145     0.0019  0.0487
     16   0.0270  0.0145     0.0035  0.0509
     17   0.0225  0.0119     0.0018  0.0408
     18   0.0238  0.0118     0.0031  0.0418
     19   0.0243  0.0119     0.0034  0.0428

