Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -4.9033  2.5667    -9.0299 -1.0304
      1  -2.7308  1.3776    -4.8777 -0.8021
      2  -3.7249  0.8521    -4.9684 -2.7037
      3  -4.3773  0.6130    -5.1433 -3.8967
      4  -4.0732  0.4889    -4.6131 -3.7412
      5  -4.2446  0.4604    -4.7162 -4.0466
      6  -4.2019  0.3390    -4.4775 -4.0505
      7  -4.2237  0.2505    -4.4770 -4.2215
      8  -4.2241  0.1881    -4.4763 -4.2232
      9  -4.2204  0.1383    -4.4746 -4.2235
     10  -4.3061  0.3310    -4.7278 -4.2251
     11  -4.2940  0.2541    -4.7136 -4.2260
     12  -4.2369  0.2086    -4.6213 -4.2224
     13  -4.2331  0.1613    -4.6002 -4.2229
     14  -4.2287  0.1281    -4.5667 -4.2233
     15  -4.2307  0.1058    -4.5655 -4.2251
     16  -4.2315  0.0926    -4.5644 -4.2260
     17  -4.2327  0.0836    -4.5639 -4.2272
     18  -4.2333  0.0785    -4.5631 -4.2279
     19  -4.2337  0.0756    -4.5624 -4.2283

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.1018  0.0587     0.0068  0.1899
      1   0.1019  0.0587     0.0070  0.1899
      2   0.1016  0.0587     0.0068  0.1898
      3   0.1003  0.0590     0.0057  0.1895
      4   0.1013  0.0587     0.0067  0.1897
      5   0.1030  0.0589     0.0067  0.1902
      6   0.1129  0.0560     0.0139  0.1916
      7   0.1212  0.0527     0.0234  0.1926
      8   0.1226  0.0516     0.0278  0.1927
      9   0.1237  0.0507     0.0308  0.1927
     10   0.0648  0.0399     0.0093  0.1401
     11   0.0670  0.0394     0.0126  0.1414
     12   0.0747  0.0415     0.0150  0.1516
     13   0.0760  0.0410     0.0170  0.1522
     14   0.0777  0.0406     0.0194  0.1533
     15   0.0787  0.0403     0.0212  0.1537
     16   0.0792  0.0400     0.0221  0.1540
     17   0.0802  0.0398     0.0234  0.1546
     18   0.0809  0.0396     0.0244  0.1549
     19   0.0814  0.0394     0.0252  0.1552

