Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -1.2103  2.0692    -6.9504 -0.0595
      1  -0.8673  1.9580    -6.4579 -0.0397
      2  -0.7238  1.9387    -6.2789 -0.0270
      3  -0.4239  1.5292    -4.0651 -0.0249
      4  -0.2311  1.1383    -0.4676 -0.0240
      5  -1.9231  2.8497    -8.3180 -0.0333
      6  -1.2247  2.4406    -7.6385 -0.0286
      7  -0.7171  1.9448    -6.2847 -0.0262
      8  -0.3997  1.4717    -3.6198 -0.0250
      9  -0.2187  1.0851    -0.5110 -0.0243
     10  -0.1229  0.8009    -0.2716 -0.0238
     11  -0.0719  0.5954    -0.2663 -0.0235
     12  -0.0677  0.5809    -0.2648 -0.0235
     13  -0.0641  0.5660    -0.2640 -0.0234
     14  -0.0374  0.4005    -0.2622 -0.0233
     15  -0.0247  0.2934    -0.2611 -0.0233
     16  -0.0180  0.2154    -0.2605 -0.0232
     17  -0.0140  0.1515    -0.2602 -0.0232
     18  -0.0122  0.1114    -0.2600 -0.0232
     19  -0.0112  0.0819    -0.2599 -0.0232

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.0798  0.0663     0.0000  0.1871
      1   0.0943  0.0662     0.0000  0.1901
      2   0.0973  0.0650     0.0000  0.1902
      3   0.1107  0.0603     0.0001  0.1918
      4   0.1190  0.0552     0.0025  0.1924
      5   0.0308  0.0366     0.0000  0.0995
      6   0.0390  0.0372     0.0000  0.1059
      7   0.0450  0.0364     0.0000  0.1097
      8   0.0489  0.0354     0.0001  0.1120
      9   0.0521  0.0344     0.0009  0.1139
     10   0.0554  0.0337     0.0066  0.1160
     11   0.0590  0.0332     0.0108  0.1188
     12   0.0599  0.0335     0.0114  0.1204
     13   0.0607  0.0338     0.0120  0.1218
     14   0.0614  0.0334     0.0142  0.1222
     15   0.0642  0.0332     0.0167  0.1244
     16   0.0668  0.0331     0.0196  0.1270
     17   0.0671  0.0329     0.0204  0.1271
     18   0.0697  0.0329     0.0225  0.1296
     19   0.0724  0.0329     0.0246  0.1322

