trialNum matrixIndex leftValue leftTime rightValue rightTime choice
  0   84  50.00  0.00 800.00 26.00  0
  1  597 340.00  0.00 800.00  2.00  0
  2  758 430.00  0.00 800.00  1.00  0
  3  776 440.00  0.00 800.00  1.00  0
  4  794 450.00  0.00 800.00  1.00  0
  5  794 470.00  0.00 800.00  2.00  0
  6  776 440.00  0.00 800.00  1.00  0
  7  525 300.00  0.00 800.00  2.00  0
  8  758 430.00  0.00 800.00  1.00  0
  9   67  40.00  0.00 800.00 52.00  0
 10  507 290.00  0.00 800.00  2.00  0
 11  221 130.00  0.00 800.00  4.30  0
 12  170 100.00  0.00 800.00 10.80  0
 13  400 230.00  0.00 800.00  3.00  0
 14  187 110.00  0.00 800.00  8.60  0
 15  187 130.00  0.00 800.00  6.44  0
 16   97  60.00  0.00 800.00  8.60  1
 17   97  80.00  0.00 800.00 10.80  0
 18   50  30.00  0.00 800.00 104.00  0
 19  668 380.00  0.00 800.00  1.00  0
