Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -6.3509  1.7684    -9.1770 -3.8097
      1  -4.9560  1.0171    -6.5050 -3.6772
      2  -4.3048  0.7072    -5.2506 -3.5347
      3  -4.7447  0.5584    -5.4091 -4.3603
      4  -4.5799  0.4693    -5.0259 -4.2846
      5  -4.7311  0.4326    -5.1642 -4.5477
      6  -4.7381  0.3239    -5.1448 -4.5784
      7  -4.7260  0.2407    -5.0414 -4.5833
      8  -4.7291  0.1875    -5.0331 -4.5981
      9  -4.7302  0.1547    -5.0281 -4.6048
     10  -4.7190  0.1228    -4.9955 -4.6006
     11  -4.7197  0.1089    -4.9954 -4.6044
     12  -4.7173  0.0979    -4.9932 -4.6041
     13  -4.7150  0.0907    -4.9911 -4.6028
     14  -4.7154  0.0876    -4.9911 -4.6047
     15  -4.7159  0.0854    -4.9911 -4.6071
     16  -4.7156  0.0841    -4.9907 -4.6073
     17  -4.7158  0.0832    -4.9907 -4.6086
     18  -4.7156  0.0825    -4.9905 -4.6087
     19  -4.7151  0.0820    -4.9901 -4.6078

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.1012  0.0590     0.0054  0.1898
      1   0.1010  0.0591     0.0051  0.1897
      2   0.1012  0.0588     0.0059  0.1897
      3   0.1012  0.0588     0.0060  0.1897
      4   0.1048  0.0579     0.0086  0.1903
      5   0.1063  0.0573     0.0096  0.1905
      6   0.1087  0.0559     0.0151  0.1907
      7   0.1127  0.0540     0.0213  0.1911
      8   0.1139  0.0532     0.0239  0.1913
      9   0.1144  0.0527     0.0254  0.1913
     10   0.1186  0.0512     0.0301  0.1919
     11   0.1190  0.0510     0.0309  0.1919
     12   0.1205  0.0501     0.0336  0.1920
     13   0.1227  0.0492     0.0365  0.1923
     14   0.1229  0.0490     0.0369  0.1923
     15   0.1230  0.0489     0.0374  0.1923
     16   0.1236  0.0485     0.0386  0.1924
     17   0.1237  0.0484     0.0388  0.1924
     18   0.1243  0.0481     0.0399  0.1924
     19   0.1257  0.0475     0.0419  0.1926

