  0 1156 650.00  0.00 800.00  3.00  1
  1  844 470.00  0.00 800.00 260.00  0
  2  608 340.00  0.00 800.00 104.00  1
  3  753 420.00  0.00 800.00 156.00  0
  4  645 360.00  0.00 800.00 156.00  0
  5  698 390.00  0.00 800.00 104.00  1
  6  698 400.00  0.00 800.00 52.00  1
  7  698 380.00  0.00 800.00 52.00  1
  8  698 400.00  0.00 800.00 156.00  0
  9  698 380.00  0.00 800.00 156.00  0
 10  698 390.00  0.00 800.00 52.00  1
 11  698 400.00  0.00 800.00 156.00  0
 12  698 400.00  0.00 800.00 52.00  1
 13  698 400.00  0.00 800.00 52.00  1
 14  698 390.00  0.00 800.00 52.00  1
 15  698 370.00  0.00 800.00 156.00  0
 16  698 410.00  0.00 800.00 52.00  1
 17  698 390.00  0.00 800.00 52.00  1
 18  698 390.00  0.00 800.00 156.00  0
 19  698 400.00  0.00 800.00 52.00  1
