Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -5.0912  2.4598    -9.0488 -1.3882
      1  -3.0454  1.3391    -5.1379 -1.1738
      2  -1.9965  0.8496    -3.1238 -1.0625
      3  -2.5485  0.6282    -3.2168 -2.1078
      4  -2.8310  0.5659    -3.3977 -2.5349
      5  -2.9874  0.5634    -3.6296 -2.7414
      6  -2.9054  0.3819    -3.1638 -2.7340
      7  -2.7994  0.7029    -3.2865 -2.4853
      8  -2.7060  0.6295    -3.1298 -2.4405
      9  -2.7115  0.5010    -3.1203 -2.6415
     10  -2.7131  0.4114    -3.1206 -2.6493
     11  -2.7258  0.3655    -3.1321 -2.6531
     12  -2.7271  0.3013    -3.1333 -2.6552
     13  -2.7030  0.2277    -3.1116 -2.6544
     14  -2.6768  0.1736    -3.0691 -2.6531
     15  -2.6762  0.1421    -3.0698 -2.6535
     16  -2.6772  0.1238    -3.0737 -2.6538
     17  -2.6729  0.1056    -3.0628 -2.6536
     18  -2.6745  0.1000    -3.0676 -2.6538
     19  -2.6760  0.0974    -3.0718 -2.6540

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.1021  0.0585     0.0074  0.1899
      1   0.1020  0.0585     0.0074  0.1898
      2   0.1024  0.0583     0.0078  0.1899
      3   0.1023  0.0585     0.0074  0.1899
      4   0.1021  0.0588     0.0067  0.1900
      5   0.1007  0.0593     0.0058  0.1898
      6   0.1124  0.0556     0.0147  0.1914
      7   0.0611  0.0431     0.0013  0.1427
      8   0.0656  0.0446     0.0030  0.1498
      9   0.0733  0.0447     0.0077  0.1562
     10   0.0792  0.0451     0.0118  0.1619
     11   0.0813  0.0455     0.0141  0.1649
     12   0.0852  0.0459     0.0169  0.1686
     13   0.0897  0.0449     0.0223  0.1706
     14   0.0949  0.0442     0.0271  0.1733
     15   0.0974  0.0437     0.0297  0.1745
     16   0.1002  0.0435     0.0320  0.1761
     17   0.1014  0.0430     0.0344  0.1765
     18   0.1039  0.0428     0.0362  0.1778
     19   0.1062  0.0427     0.0378  0.1790

