Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -5.0912  2.4598    -9.0488 -1.3882
      1  -3.0454  1.3391    -5.1379 -1.1738
      2  -1.9965  0.8496    -3.1238 -1.0625
      3  -2.5485  0.6282    -3.2168 -2.1078
      4  -2.8310  0.5659    -3.3977 -2.5349
      5  -2.9874  0.5634    -3.6296 -2.7414
      6  -2.9054  0.3819    -3.1638 -2.7340
      7  -2.7994  0.7029    -3.2865 -2.4853
      8  -2.7060  0.6295    -3.1298 -2.4405
      9  -2.7037  0.4824    -3.1139 -2.6395
     10  -2.6765  0.3576    -3.0744 -2.6407
     11  -2.6810  0.2815    -3.0775 -2.6487
     12  -2.6644  0.2104    -3.0277 -2.6487
     13  -2.6563  0.1585    -2.9845 -2.6489
     14  -2.6664  0.1471    -3.0382 -2.6517
     15  -2.6627  0.1173    -3.0235 -2.6517
     16  -2.6635  0.1005    -3.0262 -2.6525
     17  -2.6739  0.1052    -3.0663 -2.6535
     18  -2.6872  0.1124    -3.0934 -2.6546
     19  -2.6901  0.1101    -3.0974 -2.6550

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.1021  0.0585     0.0074  0.1899
      1   0.1020  0.0585     0.0074  0.1898
      2   0.1024  0.0583     0.0078  0.1899
      3   0.1023  0.0585     0.0074  0.1899
      4   0.1021  0.0588     0.0067  0.1900
      5   0.1007  0.0593     0.0058  0.1898
      6   0.1124  0.0556     0.0147  0.1914
      7   0.0611  0.0431     0.0013  0.1427
      8   0.0656  0.0446     0.0030  0.1498
      9   0.0719  0.0439     0.0082  0.1541
     10   0.0753  0.0432     0.0127  0.1560
     11   0.0808  0.0430     0.0173  0.1604
     12   0.0842  0.0424     0.0214  0.1624
     13   0.0862  0.0419     0.0241  0.1634
     14   0.0894  0.0424     0.0264  0.1672
     15   0.0905  0.0420     0.0283  0.1677
     16   0.0924  0.0416     0.0305  0.1687
     17   0.0948  0.0422     0.0316  0.1716
     18   0.0964  0.0428     0.0325  0.1739
     19   0.0989  0.0427     0.0346  0.1755

