Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -7.9703  1.3736    -3.9282 -5.9711
      1  -7.2993  1.3232    -8.5456 -4.7291
      2  -6.8881  1.3874    -8.0108 -3.6800
      3  -6.4830  1.5302    -7.7689 -2.6848
      4  -5.9034  1.7223    -7.6760 -1.7641
      5  -4.9142  2.0498    -8.1510 -0.8801
      6  -5.0167  1.8539    -7.5900 -1.1160
      7  -3.8031  2.3943    -8.4369 -0.4143
      8  -3.6081  2.2438    -7.9908 -0.4115
      9  -3.4493  2.0944    -7.2456 -0.4137
     10  -2.5654  2.0163    -7.0683 -0.2541
     11  -2.3390  1.7891    -5.9263 -0.2412
     12  -1.6834  1.6360    -5.2063 -0.1522
     13  -1.5216  1.3923    -4.0153 -0.1467
     14  -2.0771  1.3918    -4.6181 -0.4035
     15  -2.5688  1.3208    -5.0442 -0.9499
     16  -2.1845  1.2063    -4.0800 -0.7603
     17  -1.8849  1.1551    -3.4529 -0.5707
     18  -2.0973  1.0503    -3.5310 -0.9625
     19  -2.0348  0.8880    -3.3229 -0.9770

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.0977  0.0615     0.0001  0.1895
      1   0.0899  0.0637     0.0001  0.1885
      2   0.0790  0.0639     0.0000  0.1860
      3   0.0524  0.0530     0.0000  0.1618
      4   0.0216  0.0256     0.0000  0.0702
      5   0.0062  0.0064     0.0000  0.0152
      6   0.0076  0.0063     0.0000  0.0167
      7   0.0035  0.0036     0.0000  0.0064
      8   0.0046  0.0034     0.0000  0.0066
      9   0.0056  0.0030     0.0000  0.0067
     10   0.0056  0.0030     0.0000  0.0066
     11   0.0062  0.0024     0.0000  0.0067
     12   0.0063  0.0023     0.0000  0.0067
     13   0.0066  0.0019     0.0001  0.0067
     14   0.0066  0.0020     0.0001  0.0067
     15   0.0065  0.0020     0.0001  0.0067
     16   0.0066  0.0019     0.0001  0.0067
     17   0.0067  0.0019     0.0001  0.0067
     18   0.0067  0.0018     0.0001  0.0067
     19   0.0069  0.0015     0.0002  0.0068

