Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -3.2737  3.0467    -8.7896 -0.0681
      1  -2.1738  2.8312    -8.3866 -0.0450
      2  -1.4942  2.4547    -7.7550 -0.0379
      3  -2.8061  2.7099    -8.5200 -0.1857
      4  -2.2253  2.4285    -8.0396 -0.1564
      5  -1.7547  2.0621    -7.1135 -0.1388
      6  -1.2858  1.7691    -6.0220 -0.1084
      7  -1.0388  1.3941    -3.6381 -0.1028
      8  -1.4386  1.4741    -4.7079 -0.2823
      9  -1.1818  1.2262    -2.8388 -0.2416
     10  -1.2656  1.0825    -2.5669 -0.4192
     11  -1.0806  0.9959    -2.0576 -0.3369
     12  -0.9472  0.8604    -1.7165 -0.2993
     13  -0.9976  0.7360    -1.7084 -0.4596
     14  -1.1316  0.7553    -1.8333 -0.6141
     15  -1.0538  0.6195    -1.6478 -0.5965
     16  -1.0713  0.5057    -1.6320 -0.7209
     17  -1.0992  0.4271    -1.6462 -0.8195
     18  -1.0561  0.3534    -1.5581 -0.8141
     19  -1.0204  0.2998    -1.5135 -0.8090

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.0202  0.0395     0.0000  0.1164
      1   0.0324  0.0484     0.0000  0.1442
      2   0.0413  0.0513     0.0000  0.1540
      3   0.0068  0.0092     0.0000  0.0220
      4   0.0089  0.0097     0.0000  0.0249
      5   0.0107  0.0097     0.0000  0.0264
      6   0.0128  0.0104     0.0000  0.0295
      7   0.0137  0.0102     0.0001  0.0303
      8   0.0115  0.0083     0.0000  0.0246
      9   0.0128  0.0087     0.0001  0.0263
     10   0.0140  0.0091     0.0001  0.0278
     11   0.0149  0.0096     0.0002  0.0301
     12   0.0160  0.0100     0.0005  0.0322
     13   0.0176  0.0105     0.0009  0.0341
     14   0.0172  0.0102     0.0008  0.0332
     15   0.0185  0.0105     0.0012  0.0344
     16   0.0199  0.0106     0.0017  0.0362
     17   0.0212  0.0108     0.0023  0.0381
     18   0.0226  0.0109     0.0031  0.0395
     19   0.0238  0.0111     0.0040  0.0407

