trialNum matrixIndex leftValue leftTime rightValue rightTime choice
  0  972 550.00  0.00 800.00  0.43  1
  1  698 390.00  0.00 800.00 104.00  0
  2  656 370.00  0.00 800.00 10.80  0
  3  742 420.00  0.00 800.00  3.00  0
  4  687 390.00  0.00 800.00  2.00  1
  5  652 370.00  0.00 800.00  3.00  1
  6  617 350.00  0.00 800.00  4.30  1
  7  742 420.00  0.00 800.00  3.00  1
  8  761 430.00  0.00 800.00  4.30  0
  9  724 410.00  0.00 800.00  3.00  0
 10  742 420.00  0.00 800.00  3.00  1
 11  815 460.00  0.00 800.00  4.30  0
 12  724 410.00  0.00 800.00  3.00  1
 13  779 440.00  0.00 800.00  4.30  0
 14  688 390.00  0.00 800.00  3.00  1
 15  706 400.00  0.00 800.00  3.00  0
 16  724 410.00  0.00 800.00  3.00  0
 17  742 420.00  0.00 800.00  3.00  0
 18  778 440.00  0.00 800.00  3.00  0
 19  796 450.00  0.00 800.00  3.00  0
