Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -4.5359  2.7593    -8.9909 -0.4182
      1  -4.4869  2.7776    -8.9847 -0.3801
      2  -4.3974  2.8082    -8.9730 -0.3235
      3  -4.2492  2.8515    -8.9523 -0.2570
      4  -4.0409  2.8978    -8.9200 -0.2048
      5  -3.7859  2.9326    -8.8743 -0.1656
      6  -3.5313  2.9441    -8.8202 -0.1401
      7  -5.4335  2.5947    -9.1240 -0.6805
      8  -5.6584  2.5107    -9.1474 -0.7775
      9  -5.8370  2.4268    -9.1639 -0.8943
     10  -4.6251  2.2487    -8.3664 -0.4804
     11  -3.0463  2.5432    -8.2706 -0.1573
     12  -2.6648  2.3399    -7.6012 -0.1366
     13  -3.9856  2.1120    -8.1107 -0.6032
     14  -3.8789  1.9700    -7.6008 -0.6307
     15  -3.1241  1.8502    -6.9226 -0.3888
     16  -2.9743  1.6736    -5.9180 -0.3778
     17  -3.5027  1.3755    -5.9569 -1.4327
     18  -2.9967  1.3432    -5.1919 -0.9262
     19  -2.9253  1.2030    -4.7621 -0.9565

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.0004  0.0014     0.0000  0.0001
      1   0.0006  0.0018     0.0000  0.0019
      2   0.0010  0.0024     0.0000  0.0043
      3   0.0016  0.0030     0.0000  0.0056
      4   0.0025  0.0035     0.0000  0.0062
      5   0.0036  0.0038     0.0000  0.0066
      6   0.0048  0.0037     0.0000  0.0068
      7   0.0038  0.0035     0.0000  0.0064
      8   0.0049  0.0033     0.0000  0.0066
      9   0.0057  0.0028     0.0000  0.0066
     10   0.0056  0.0029     0.0000  0.0066
     11   0.0044  0.0034     0.0000  0.0065
     12   0.0054  0.0030     0.0000  0.0066
     13   0.0049  0.0032     0.0000  0.0065
     14   0.0057  0.0027     0.0000  0.0066
     15   0.0058  0.0026     0.0000  0.0066
     16   0.0063  0.0021     0.0000  0.0066
     17   0.0064  0.0019     0.0001  0.0066
     18   0.0064  0.0020     0.0001  0.0066
     19   0.0067  0.0015     0.0001  0.0066

