Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -7.7886  1.3725    -4.5953 -5.8147
      1  -6.9939  1.2268    -8.1895 -4.9452
      2  -6.5721  1.1885    -7.5843 -4.4245
      3  -6.2986  1.1559    -7.2513 -4.2055
      4  -5.9695  1.1736    -7.0105 -3.7697
      5  -5.4453  1.2805    -6.7547 -2.8245
      6  -5.7988  1.0256    -6.7729 -4.2511
      7  -5.9852  0.8613    -6.7846 -5.2410
      8  -6.1220  0.9400    -6.9200 -5.2719
      9  -6.2327  0.8187    -6.9451 -5.8354
     10  -6.2169  0.6741    -6.7899 -5.9343
     11  -6.2598  0.5035    -6.7781 -6.0724
     12  -6.2834  0.3809    -6.7710 -6.0935
     13  -6.1681  0.4861    -6.6507 -5.9800
     14  -6.1923  0.3741    -6.6353 -6.0609
     15  -6.2643  0.3660    -6.7267 -6.0904
     16  -6.1646  0.4683    -6.6206 -6.0563
     17  -6.1851  0.3618    -6.5997 -6.0657
     18  -6.1989  0.2887    -6.5859 -6.0727
     19  -6.0869  0.6373    -6.7092 -5.8476

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.0995  0.0614     0.0001  0.1899
      1   0.0905  0.0633     0.0001  0.1885
      2   0.0809  0.0628     0.0001  0.1861
      3   0.0688  0.0591     0.0001  0.1796
      4   0.0471  0.0465     0.0001  0.1462
      5   0.0215  0.0208     0.0000  0.0599
      6   0.0275  0.0232     0.0001  0.0691
      7   0.0326  0.0248     0.0001  0.0769
      8   0.0311  0.0240     0.0001  0.0738
      9   0.0351  0.0254     0.0001  0.0805
     10   0.0393  0.0265     0.0012  0.0864
     11   0.0411  0.0260     0.0046  0.0875
     12   0.0424  0.0257     0.0074  0.0883
     13   0.0326  0.0186     0.0039  0.0641
     14   0.0340  0.0183     0.0069  0.0651
     15   0.0343  0.0187     0.0068  0.0662
     16   0.0281  0.0148     0.0036  0.0523
     17   0.0293  0.0146     0.0060  0.0531
     18   0.0304  0.0145     0.0075  0.0539
     19   0.0186  0.0096     0.0007  0.0328

