Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -4.6319  2.7205    -9.0025 -0.5141
      1  -2.3164  1.4496    -4.5792 -0.2713
      2  -1.1605  0.9162    -2.3408 -0.1407
      3  -1.7941  0.6900    -2.5028 -1.3341
      4  -1.5083  0.6290    -2.0056 -1.1832
      5  -1.3593  0.6151    -1.7715 -1.0797
      6  -1.3769  0.4685    -1.7619 -1.3265
      7  -2.3499  1.8975    -7.5108 -0.9323
      8  -2.0409  1.5102    -6.0498 -0.9977
      9  -1.8512  1.1736    -3.7443 -1.0412
     10  -2.5546  1.7421    -7.2154 -1.0934
     11  -2.3149  1.4053    -5.6117 -1.1525
     12  -2.1681  1.1283    -4.0658 -1.1884
     13  -1.9866  0.9278    -3.1693 -1.1571
     14  -1.8606  0.7765    -2.7881 -1.1241
     15  -1.9017  0.6530    -2.7701 -1.3283
     16  -1.8251  0.5499    -2.5752 -1.2966
     17  -1.9019  0.4899    -2.6096 -1.4358
     18  -1.9430  0.4287    -2.6220 -1.5890
     19  -1.8920  0.3659    -2.5219 -1.5659

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.1026  0.0584     0.0079  0.1899
      1   0.1030  0.0583     0.0081  0.1900
      2   0.1037  0.0580     0.0089  0.1901
      3   0.1019  0.0586     0.0071  0.1898
      4   0.1029  0.0585     0.0079  0.1900
      5   0.1021  0.0586     0.0078  0.1899
      6   0.1125  0.0555     0.0151  0.1914
      7   0.0148  0.0144     0.0000  0.0395
      8   0.0169  0.0142     0.0000  0.0408
      9   0.0182  0.0139     0.0001  0.0415
     10   0.0085  0.0068     0.0000  0.0186
     11   0.0095  0.0066     0.0000  0.0191
     12   0.0101  0.0063     0.0001  0.0194
     13   0.0111  0.0065     0.0002  0.0203
     14   0.0120  0.0068     0.0004  0.0215
     15   0.0129  0.0070     0.0006  0.0232
     16   0.0138  0.0072     0.0008  0.0245
     17   0.0146  0.0075     0.0010  0.0257
     18   0.0154  0.0076     0.0012  0.0265
     19   0.0164  0.0078     0.0015  0.0272

