Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -1.1460  1.4098    -3.7799 -0.1101
      1  -1.6784  1.3293    -4.6345 -1.0122
      2  -2.0555  1.4438    -5.9066 -1.3690
      3  -2.7208  1.8958    -7.7501 -1.4261
      4  -2.2914  1.5127    -6.5007 -1.4789
      5  -2.2245  1.2939    -5.3949 -1.6572
      6  -2.9150  1.8725    -7.8482 -1.5642
      7  -2.6260  1.5114    -6.7052 -1.6942
      8  -2.3572  1.2018    -4.9076 -1.7277
      9  -2.2046  0.9274    -3.0410 -1.7602
     10  -2.1043  0.7432    -2.6172 -1.7591
     11  -2.0174  0.7889    -2.5376 -1.6484
     12  -1.9384  0.7080    -2.3600 -1.6210
     13  -1.9263  0.5482    -2.3456 -1.7046
     14  -1.8808  0.4488    -2.2821 -1.6918
     15  -1.8538  0.3520    -2.1830 -1.6903
     16  -1.8064  0.6620    -2.1847 -1.4481
     17  -1.8088  0.5192    -2.1428 -1.5949
     18  -1.7544  0.7510    -2.1455 -1.3771
     19  -1.7314  0.5777    -2.1076 -1.4502

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.0956  0.0619     0.0001  0.1891
      1   0.0928  0.0630     0.0001  0.1888
      2   0.0841  0.0642     0.0000  0.1872
      3   0.0407  0.0471     0.0000  0.1414
      4   0.0535  0.0497     0.0000  0.1535
      5   0.0624  0.0519     0.0000  0.1628
      6   0.0193  0.0208     0.0000  0.0573
      7   0.0223  0.0209     0.0000  0.0600
      8   0.0268  0.0215     0.0000  0.0647
      9   0.0300  0.0214     0.0001  0.0673
     10   0.0334  0.0218     0.0013  0.0712
     11   0.0323  0.0215     0.0008  0.0695
     12   0.0352  0.0230     0.0017  0.0754
     13   0.0382  0.0230     0.0045  0.0783
     14   0.0417  0.0238     0.0070  0.0827
     15   0.0445  0.0241     0.0086  0.0860
     16   0.0262  0.0147     0.0018  0.0500
     17   0.0283  0.0146     0.0037  0.0520
     18   0.0212  0.0114     0.0009  0.0388
     19   0.0225  0.0112     0.0022  0.0395

