Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -2.0936  1.4256    -4.1340 -0.2244
      1  -3.0905  0.9483    -4.2071 -2.1382
      2  -2.5588  0.7803    -3.2887 -1.9883
      3  -2.2844  0.7434    -2.8353 -1.8609
      4  -2.1234  0.7331    -2.5843 -1.6197
      5  -2.1759  0.5571    -2.5725 -2.0861
      6  -2.4729  1.0270    -3.7856 -2.0201
      7  -2.5264  0.9312    -3.4188 -2.1546
      8  -2.5029  0.7570    -3.0792 -2.2917
      9  -2.9933  1.4379    -6.9029 -2.1386
     10  -4.6833  2.7079    -9.0121 -0.5258
     11  -4.6806  2.6985    -9.0103 -0.5374
     12  -4.6733  2.6822    -9.0067 -0.5573
     13  -4.6533  2.6550    -8.9991 -0.5900
     14  -4.6134  2.6104    -8.9849 -0.6473
     15  -4.5470  2.5413    -8.9605 -0.7520
     16  -4.4550  2.4451    -8.9234 -0.9457
     17  -4.3511  2.3316    -8.8752 -1.3015
     18  -4.2565  2.2214    -8.8237 -1.8081
     19  -3.6350  1.6941    -7.8047 -1.9810

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.0996  0.0600     0.0026  0.1896
      1   0.0990  0.0601     0.0024  0.1895
      2   0.0992  0.0599     0.0027  0.1895
      3   0.0984  0.0599     0.0028  0.1893
      4   0.0964  0.0600     0.0028  0.1888
      5   0.1099  0.0568     0.0098  0.1910
      6   0.0555  0.0429     0.0001  0.1367
      7   0.0604  0.0449     0.0001  0.1453
      8   0.0681  0.0458     0.0011  0.1527
      9   0.0209  0.0185     0.0000  0.0531
     10   0.0002  0.0008     0.0000  0.0001
     11   0.0003  0.0011     0.0000  0.0001
     12   0.0005  0.0015     0.0000  0.0003
     13   0.0008  0.0020     0.0000  0.0034
     14   0.0013  0.0026     0.0000  0.0050
     15   0.0020  0.0031     0.0000  0.0058
     16   0.0030  0.0034     0.0000  0.0062
     17   0.0042  0.0034     0.0000  0.0064
     18   0.0052  0.0031     0.0000  0.0065
     19   0.0057  0.0027     0.0000  0.0066

