trialNum matrixIndex leftValue leftTime rightValue rightTime choice
  0  751 420.00  0.00 800.00 52.00  0
  1  637 360.00  0.00 800.00  8.60  1
  2  695 390.00  0.00 800.00 21.50  0
  3  693 390.00  0.00 800.00 12.90  0
  4  745 420.00  0.00 800.00  8.60  0
  5  744 420.00  0.00 800.00  6.44  1
  6  674 380.00  0.00 800.00 10.80  1
  7  656 370.00  0.00 800.00 10.80  1
  8  727 410.00  0.00 800.00  8.60  1
  9  747 420.00  0.00 800.00 12.90  1
 10 1420 790.00  0.00 800.00 260.00  1
 11    0  10.00  0.00 800.00  0.43  1
 12    0  30.00  0.00 800.00  0.71  1
 13    0  10.00  0.00 800.00  0.71  1
 14    0  10.00  0.00 800.00  0.71  1
 15    0  10.00  0.00 800.00  0.71  1
 16    0  10.00  0.00 800.00  0.71  1
 17    0  10.00  0.00 800.00  0.71  1
 18    0  20.00  0.00 800.00  0.71  1
 19  916 510.00  0.00 800.00 260.00  0
