Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -1.2844  2.3458    -7.5453 -0.0451
      1  -1.4347  2.3360    -7.6217 -0.1732
      2  -2.9097  2.8320    -8.6262 -0.3044
      3  -2.1420  2.4897    -8.0951 -0.2869
      4  -3.5079  2.6147    -8.6799 -0.4995
      5  -3.0574  2.4179    -8.3460 -0.4980
      6  -2.6474  2.1470    -7.7151 -0.4960
      7  -2.3402  1.8642    -6.6536 -0.4944
      8  -3.4142  1.9177    -7.5983 -0.9593
      9  -3.2852  1.7558    -6.9620 -1.0390
     10  -2.6583  1.4998    -5.6811 -0.8722
     11  -3.2233  1.4530    -6.2764 -1.4343
     12  -3.1269  1.2706    -5.4755 -1.5109
     13  -2.7644  1.1077    -4.4727 -1.3597
     14  -3.0368  1.0069    -4.6464 -1.8490
     15  -2.7912  0.9147    -4.1058 -1.6852
     16  -2.9469  0.8175    -4.1683 -2.0130
     17  -3.1447  0.7863    -4.3621 -2.3018
     18  -3.0088  0.6899    -4.0462 -2.2333
     19  -2.9061  0.6148    -3.8435 -2.1830

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.0772  0.0675     0.0000  0.1869
      1   0.0734  0.0675     0.0000  0.1864
      2   0.0153  0.0262     0.0000  0.0683
      3   0.0208  0.0291     0.0000  0.0795
      4   0.0042  0.0056     0.0000  0.0121
      5   0.0057  0.0059     0.0000  0.0133
      6   0.0070  0.0058     0.0000  0.0141
      7   0.0080  0.0056     0.0000  0.0153
      8   0.0059  0.0036     0.0000  0.0084
      9   0.0066  0.0032     0.0000  0.0090
     10   0.0069  0.0032     0.0000  0.0103
     11   0.0066  0.0031     0.0000  0.0090
     12   0.0071  0.0027     0.0001  0.0094
     13   0.0073  0.0028     0.0001  0.0103
     14   0.0074  0.0029     0.0001  0.0109
     15   0.0076  0.0030     0.0002  0.0114
     16   0.0079  0.0031     0.0002  0.0120
     17   0.0079  0.0031     0.0003  0.0119
     18   0.0082  0.0033     0.0003  0.0125
     19   0.0085  0.0035     0.0004  0.0129

